magic	version	structure	wire_size	field	type	offset_lp64	offset_ilp32
0x115a	sysstat-3.2.4	file_hdr	217	sa_actflag	U32	0	0
0x115a	sysstat-3.2.4	file_hdr	217	sa_magic	U16	4	4
0x115a	sysstat-3.2.4	file_hdr	217	sa_st_size	U16	6	6
0x115a	sysstat-3.2.4	file_hdr	217	sa_nr_pid	U32	8	8
0x115a	sysstat-3.2.4	file_hdr	217	sa_irqcpu	U32	12	12
0x115a	sysstat-3.2.4	file_hdr	217	sa_day	U8	16	16
0x115a	sysstat-3.2.4	file_hdr	217	sa_month	U8	17	17
0x115a	sysstat-3.2.4	file_hdr	217	sa_year	U8	18	18
0x115a	sysstat-3.2.4	file_hdr	217	sa_proc	U8	19	19
0x115a	sysstat-3.2.4	file_hdr	217	sa_serial	U8	20	20
0x115a	sysstat-3.2.4	file_hdr	217	sa_iface	U8	21	21
0x115a	sysstat-3.2.4	file_hdr	217	sa_sysname	Bytes(65)	22	22
0x115a	sysstat-3.2.4	file_hdr	217	sa_nodename	Bytes(65)	87	87
0x115a	sysstat-3.2.4	file_hdr	217	sa_release	Bytes(65)	152	152
0x115a	sysstat-3.2.4	file_stats	232	record_type	U8	0	0
0x115a	sysstat-3.2.4	file_stats	232	hour	U8	1	1
0x115a	sysstat-3.2.4	file_stats	232	minute	U8	2	2
0x115a	sysstat-3.2.4	file_stats	232	second	U8	3	3
0x115a	sysstat-3.2.4	file_stats	232	nr_processes	U32	4	4
0x115a	sysstat-3.2.4	file_stats	232	uptime	CULong	8	8
0x115a	sysstat-3.2.4	file_stats	232	processes	CULong	16	16
0x115a	sysstat-3.2.4	file_stats	232	context_swtch	U32	24	24
0x115a	sysstat-3.2.4	file_stats	232	cpu_user	U32	28	28
0x115a	sysstat-3.2.4	file_stats	232	cpu_nice	U32	32	32
0x115a	sysstat-3.2.4	file_stats	232	cpu_system	U32	36	36
0x115a	sysstat-3.2.4	file_stats	232	cpu_idle	CULong	40	40
0x115a	sysstat-3.2.4	file_stats	232	irq_sum	U32	48	48
0x115a	sysstat-3.2.4	file_stats	232	pgpgin	U32	52	52
0x115a	sysstat-3.2.4	file_stats	232	pgpgout	U32	56	56
0x115a	sysstat-3.2.4	file_stats	232	pswpin	U32	60	60
0x115a	sysstat-3.2.4	file_stats	232	pswpout	U32	64	64
