case	sysstat_rpm	rootfs_release	format_magic	architecture	requested_samples	sar_repeat_matches	resarch_readable	scan_exact	pair_dir	sa_sha256	sar_text_sha256
centos-3.9	sysstat-5.0.5-11.rhel3.x86_64.rpm	CentOS release 5.11 (Final)	0x2163	x86_64	2	true	true	true	testdata/sysstat-live/2026-09-24/centos-3.9	93d62ce6cad250b176cf8980e653fe754705a901ee12dcffa0c7b72dc049c4f8	542c93e49474620df63d2dde62f2ededb226a509c3769ceff7a15bd113c70bcc
centos-4.9	sysstat-5.0.5-27.el4.x86_64.rpm	CentOS release 5.11 (Final)	0x2163	x86_64	2	true	true	true	testdata/sysstat-live/2026-09-24/centos-4.9	c599c88c7a6098c7b7afc7b1c389bca9ab8b2af46e9baeb97b89b15595fc709c	a3e78d3d794677e319482f53011c2920660a21e9a970d44fb07bdf263d70027c
centos-5.11	sysstat-7.0.2-13.el5.x86_64.rpm	CentOS release 5.11 (Final)	0x2169	x86_64	2	true	true	true	testdata/sysstat-live/2026-09-24/centos-5.11	2f5d8e3feb5d60b662e0c6c0b356a590ba7ead6f78b826e5e64bf60408cd87d3	06d7ae16667203d76ce623a228d0cd8acf8beb925aa67d2c3eda1f4f32f0c09e
centos-6.0	sysstat-9.0.4-11.el6.x86_64.rpm	CentOS release 6.6 (Final)	0x2170	x86_64	2	true	true	true	testdata/sysstat-live/2026-09-24/centos-6.0	4ff4836dfaab4501e1721d03e4625a1f6a5256fe0d9a20f31ff8ba12f541f655	3c8e628109de59ba6f20fb1985d820854828f64f9915efbc3c6d559a34c69a02
centos-6.5	sysstat-9.0.4-22.el6.x86_64.rpm	CentOS release 6.6 (Final)	0x1170	x86_64	2	true	true	true	testdata/sysstat-live/2026-09-24/centos-6.5	0f0e478e6052b8ced8a22c048cc12201f3670788ac0c80c95f8038ca8b00e9fd	13a3499c85435a75991f51ac6bf75067fcfb5279080399652887290dfec5733b
centos-6.10	sysstat-9.0.4-33.el6_9.1.x86_64.rpm	CentOS release 6.10 (Final)	0x1170	x86_64	2	true	true	true	testdata/sysstat-live/2026-09-24/centos-6.10	14a2afadc881d012a0c7f2d15751e52a7b081e6f1d0a962b89123c40365f347d	028a73e645d293fc74d38e39512fede22921a0cbe936c40191cb4ae889b1ff99
centos-7.0	sysstat-10.1.5-4.el7.x86_64.rpm	CentOS Linux release 7.0.1406 (Core)	0x2171	x86_64	2	true	true	true	testdata/sysstat-live/2026-09-24/centos-7.0	4229dc4a555edc67485d0f371839e06ad0ea281b52b6d3747da1ea78e1e5bd89	3068c794a7eb7b1bc493159e8ae6c389e19a27f87df689b87da21da3759fc0a5
centos-7.5	sysstat-10.1.5-13.el7.x86_64.rpm	CentOS Linux release 7.5.1804 (Core)	0x2171	x86_64	2	true	true	true	testdata/sysstat-live/2026-09-24/centos-7.5	555265bd4e50b66804bd0109ff5936ed9fadacbe156430042e5414729386c7da	939006d958509811fd687cfc7be605d7498aafbb990d13ef33392b872f8a8689
centos-7.9	sysstat-10.1.5-20.el7_9.x86_64.rpm	CentOS Linux release 7.9.2009 (Core)	0x2171	x86_64	2	true	true	true	testdata/sysstat-live/2026-09-24/centos-7.9	183c346a7617de1c920df2204bfa97d95404656b6ce3bef8c4e637b346259d53	517e416542b762265f45cdea16513354dfcbf9845fa89fd0921c8f6fe54e0bea
centos-8.0	sysstat-11.7.3-2.el8.x86_64.rpm	CentOS Linux release 8.4.2105	0x2175	x86_64	2	true	true	true	testdata/sysstat-live/2026-09-24/centos-8.0	d5ad53375692afb04318a810ea5b3ba4fc1f51b17275e9d63982f85bd08ef185	e90733669b52e5e6ee6b4d74606a69a67048301e9b31f770d73ca4a6e2766bd4
centos-8.5	sysstat-11.7.3-6.el8.x86_64.rpm	CentOS Linux release 8.4.2105	0x2175	x86_64	2	true	true	true	testdata/sysstat-live/2026-09-24/centos-8.5	93680a4600939fc10b603cbc4428f469a1ae2552d2589eaa3abaae7c0070bdb1	6400de247c05cf312a6d9497e29b635a7624532470075d76c302636fccd60cbb
