# collected_at_local=2026-09-24 Asia/Tokyo
# runtime=Apple Container 1.4.1
# hostname=resarch-fixture
# source=official Git releases and recovered original archives
case	sysstat	source_commit	source_url	source_sha256	format_magic	endian	abi	records	scan_exact	activity_decode	resarch_render_success	sar_text_comparison	pair_dir	sa_sha256	sar_text_sha256
upstream-2.2	2.2	-	https://archive.org/download/suse64/SU6400.006.iso/suse%2Fzq2%2Fsysstat.spm	dcce05c498cd5ab0d9b314eb4433b1875227a9f34a82d6e4360784501b502785	0x015d	little	lp64	3	true	complete	true	different	testdata/sysstat-live/2026-09-24-official-all/upstream-2.2	6de768db9b1dc272f1600207cedbe5fc40d3a86283952b2d052320e72d980d95	bd011f76548dc42cf7246b8aaa3cd12621a9bd8aea11cfbdbd9d1bd29b5a7e49
upstream-3.2.4	3.2.4	-	https://ftp.kh.edu.tw/Linux/Redhat/en_7.0/SRPMS/sysstat-3.2.4-3.src.rpm	527c28692ad5897b5766c9dfbfb5dcec8e4b00bf80c456a9969e7cc7b11efacd	0x115a	little	lp64	2	true	complete	true	different	testdata/sysstat-live/2026-09-24-official-all/upstream-3.2.4	c042561dde7d42e2bfb0af67dc958e7a43a093aac284ac73142faf0672f85c7c	a8bebb31af3a070bb259bdd2ee6ad807f82789ab6078aadc42787cb7ce696840
upstream-3.3.2	3.3.2	-	https://archive.org/download/SuSE_Linux_7.1/SU7100.006.ISO/suse%2Fzq2%2Fsysstat.spm	63f1317004e738370ee0a69e2942f24b9af27af9e19e160aeee08140c470a5bc	0x215a	little	lp64	2	true	complete	true	different	testdata/sysstat-live/2026-09-24-official-all/upstream-3.3.2	62d3b8a65d5ea4d87f3b2c9b0423da662e7b36a6539f5a91f6158c4012384283	d75906bd1e3c8a5ae3e1482844a3669fcae4f3d13b73ae6fc39104ca5795a91f
upstream-3.3.5	3.3.5	-	https://ftp.icm.edu.pl/pub/Linux/distributions/redhat/linux/7.1/en/os/i386/SRPMS/sysstat-3.3.5-3.src.rpm	04ec7d86f54cbbef6c28e6f66a9db818e2da5ac4185300fea5d404c46866de75	0x215b	little	lp64	2	true	complete	true	different	testdata/sysstat-live/2026-09-24-official-all/upstream-3.3.5	9f41236eb50251e1fcf8d7c154f531f289b13ca3e4f47efabcf6fe311ec725af	fe259cdb70abb610ea3e61ae79cf7dbfafd3e4733ba47cfce870c090fd9b6cad
upstream-4.0.4	4.0.4	-	https://snapshot.debian.org/file/3c8b57c19909728e902c4438e2f768344084dc60	c74c47ab5c5ff384fd71007070ebdf8e69fb91e7c24cb63dd8f2e0b59ed3c966	0x215d	little	lp64	2	true	complete	true	different	testdata/sysstat-live/2026-09-24-official-all/upstream-4.0.4	3622d97c06dcfac90224fdd0d0cb26da025d3f6ead6283e768a1b55b0816f46d	ce66538cb8a4af881b7ad5246dd60e414710c208681cc31b8bf1f841b07bceef
upstream-4.1.1	4.1.1	-	https://web.archive.org/web/20040208074118id_/http://perso.wanadoo.fr:80/sebastien.godard/sysstat-4.1.1.tar.bz2	69117e08113e9e307572e6fec80dd94e7218ddb717ed4f9568935ffd91735b32	0x215e	little	lp64	2	true	complete	true	different	testdata/sysstat-live/2026-09-24-official-all/upstream-4.1.1	dd243544d1d24b093dcba00c17d0a0a2b5db19f2be4bf10ec5399894154578fb	492a7070fb6a07ff6b578cb384f373cd71ffc458042249885490beeb2e335a09
upstream-4.1.3	4.1.3	-	https://distfiles.pld-linux.org/distfiles/by-md5/c/e/ce24f45bc5bc8af94ed3c28636ebf4a3/sysstat-4.1.3.tar.bz2	03f98b53d7140124e57290ed52f7977ec1e2c37d5590558651f545762853b4ba	0x215f	little	lp64	2	true	complete	true	different	testdata/sysstat-live/2026-09-24-official-all/upstream-4.1.3	333aebebce180d50496d4084e55064c47d38e57a0636ae714602b6494bb84e50	3e454633ee5696c598315b722e66836592a124e90b5857bb582b434fe81fff94
upstream-4.1.4	4.1.4	-	https://web.archive.org/web/20040208074125id_/http://perso.wanadoo.fr:80/sebastien.godard/sysstat-4.1.4.tar.bz2	c12f85f7c2674a7e606e24d4ddb8b45cf411daf8895a96249e9e815edb74eca8	0x2160	little	lp64	2	true	complete	true	different	testdata/sysstat-live/2026-09-24-official-all/upstream-4.1.4	a3d1e7c1361b0b3d982086f27ec72491e150e60b99ede351b2062e17f8c85bb5	6b3ffa853975bc56d873f5162e888972e8fa9cc0b3acda625073a61cd87f3aab
upstream-4.1.5	4.1.5	-	https://distfiles.pld-linux.org/distfiles/by-md5/b/5/b5d2a8eff21a991b3fe6192f4d941924/sysstat-4.1.5.tar.bz2	1329b7490a6234d920d49c6688765c06b33031b93521a3a8772bd3cea4269e65	0x2161	little	lp64	2	true	complete	true	different	testdata/sysstat-live/2026-09-24-official-all/upstream-4.1.5	6431745d4b1c24b9da4fd13b1d4807e4d5d840b22a4f3b3a9c634cdbce3bd086	3d8b65dd43030a66d7b07e25706baf8c11302bfaf26a2c16b36421c0d4548243
upstream-4.1.6	4.1.6	-	https://distfiles.pld-linux.org/distfiles/by-md5/8/f/8ffdb7abc6049f43c4f7b6a4fe06fe27/sysstat-4.1.6.tar.bz2	e56502e9f15ff7e1ee311b3b4f14e99613629dab081bf7734b890e7d7122a5bc	0x2162	little	lp64	2	true	complete	true	different	testdata/sysstat-live/2026-09-24-official-all/upstream-4.1.6	2f4dba52db97055fafa96b33933817f379fd4221efb5c809e3295a9235c5a7f2	9166f06aceb82f5a574c628816890ad6280e8a1796122ddb9bc03a0772cb8082
