Linux 6.18.35 (resarch-fixture) 	09/24/26 	_aarch64_	(5 CPU)

01:24:11        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
01:24:12        all      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:24:12          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:24:12          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:24:12          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:24:12          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:24:12          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:        all      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00

01:24:11       proc/s   cswch/s
01:24:12         0.00    242.00
Average:         0.00    242.00

01:24:11         INTR    intr/s
01:24:12          sum    165.00
01:24:12            0      0.00
01:24:12            1      0.00
01:24:12            2     12.00
01:24:12            3      0.00
01:24:12            4      0.00
01:24:12            5      0.00
01:24:12            6      0.00
01:24:12            7      0.00
01:24:12            8      0.00
01:24:12            9      0.00
01:24:12           10      0.00
01:24:12           11     87.00
01:24:12           12      0.00
01:24:12           13      2.00
01:24:12           14      0.00
01:24:12           15      0.00
01:24:12           16      0.00
01:24:12           17     63.00
01:24:12           18      0.00
01:24:12           19      1.00
01:24:12           20      0.00
01:24:12           21      0.00
01:24:12           22      0.00
01:24:12           23      0.00
01:24:12           24      0.00
01:24:12           25      0.00
01:24:12           26      0.00
01:24:12           27      0.00
01:24:12           28      0.00
01:24:12           29      0.00
01:24:12           30      0.00
01:24:12           31      0.00
01:24:12           32      0.00
01:24:12           33      0.00
01:24:12           34      0.00
01:24:12           35      0.00
01:24:12           36      0.00
01:24:12           37      0.00
01:24:12           38      0.00
01:24:12           39      0.00
01:24:12           40      0.00
01:24:12           41      0.00
01:24:12           42      0.00
01:24:12           43      0.00
01:24:12           44      0.00
01:24:12           45      0.00
01:24:12           46      0.00
01:24:12           47      0.00
01:24:12           48      0.00
01:24:12           49      0.00
01:24:12           50      0.00
01:24:12           51      0.00
01:24:12           52      0.00
01:24:12           53      0.00
01:24:12           54      0.00
01:24:12           55      0.00
01:24:12           56      0.00
01:24:12           57      0.00
01:24:12           58      0.00
01:24:12           59      0.00
01:24:12           60      0.00
01:24:12           61      0.00
01:24:12           62      0.00
01:24:12           63      0.00
Average:          sum    165.00
Average:            0      0.00
Average:            1      0.00
Average:            2     12.00
Average:            3      0.00
Average:            4      0.00
Average:            5      0.00
Average:            6      0.00
Average:            7      0.00
Average:            8      0.00
Average:            9      0.00
Average:           10      0.00
Average:           11     87.00
Average:           12      0.00
Average:           13      2.00
Average:           14      0.00
Average:           15      0.00
Average:           16      0.00
Average:           17     63.00
Average:           18      0.00
Average:           19      1.00
Average:           20      0.00
Average:           21      0.00
Average:           22      0.00
Average:           23      0.00
Average:           24      0.00
Average:           25      0.00
Average:           26      0.00
Average:           27      0.00
Average:           28      0.00
Average:           29      0.00
Average:           30      0.00
Average:           31      0.00
Average:           32      0.00
Average:           33      0.00
Average:           34      0.00
Average:           35      0.00
Average:           36      0.00
Average:           37      0.00
Average:           38      0.00
Average:           39      0.00
Average:           40      0.00
Average:           41      0.00
Average:           42      0.00
Average:           43      0.00
Average:           44      0.00
Average:           45      0.00
Average:           46      0.00
Average:           47      0.00
Average:           48      0.00
Average:           49      0.00
Average:           50      0.00
Average:           51      0.00
Average:           52      0.00
Average:           53      0.00
Average:           54      0.00
Average:           55      0.00
Average:           56      0.00
Average:           57      0.00
Average:           58      0.00
Average:           59      0.00
Average:           60      0.00
Average:           61      0.00
Average:           62      0.00
Average:           63      0.00

01:24:11     pswpin/s pswpout/s
01:24:12         0.00      0.00
Average:         0.00      0.00

01:24:11     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
01:24:12         0.00      0.00      2.00      0.00     44.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      2.00      0.00     44.00      0.00      0.00      0.00      0.00

01:24:11          tps      rtps      wtps   bread/s   bwrtn/s
01:24:12         0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00

01:24:11      frmpg/s   bufpg/s   campg/s
01:24:12       710.00      0.00     28.00
Average:       710.00      0.00     28.00

01:24:11    kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact
01:24:12       884540    243176     21.56     17544    119084     43740      3.88     33100    107032
Average:       884540    243176     21.56     17544    119084     43740      3.88     33100    107032

01:24:11    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
01:24:12            0         0      0.00         0      0.00
Average:            0         0      0.00         0      0.00

01:24:11    kbhugfree kbhugused  %hugused
01:24:12            0         0      0.00
Average:            0         0      0.00

01:24:11    dentunusd   file-nr  inode-nr    pty-nr
01:24:12          151        32       784         0
Average:          151        32       784         0

01:24:11      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
01:24:12            1       101      0.00      0.00      0.00         0
Average:            1       101      0.00      0.00      0.00         0

01:24:11          DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
01:24:12     dev254-0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
