Linux 6.18.35 (resarch-fixture) 	09/24/26 	_aarch64_	(5 CPU)

01:25:13        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
01:25:14        all      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:25:14          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:25:14          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:25:14          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:25:14          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:25:14          4      0.00      0.00      0.99      0.00      0.00      0.00      0.00      0.00     99.01
Average:        all      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      0.99      0.00      0.00      0.00      0.00      0.00     99.01

01:25:13       proc/s   cswch/s
01:25:14         0.00    299.01
Average:         0.00    299.01

01:25:13         INTR    intr/s
01:25:14          sum    231.68
01:25:14            0      0.00
01:25:14            1      0.00
01:25:14            2     73.27
01:25:14            3      0.00
01:25:14            4      0.00
01:25:14            5      0.00
01:25:14            6      0.00
01:25:14            7      0.00
01:25:14            8      0.00
01:25:14            9      0.00
01:25:14           10      0.00
01:25:14           11     94.06
01:25:14           12      0.00
01:25:14           13      0.99
01:25:14           14      0.00
01:25:14           15      0.00
01:25:14           16      0.00
01:25:14           17     62.38
01:25:14           18      0.00
01:25:14           19      0.99
01:25:14           20      0.00
01:25:14           21      0.00
01:25:14           22      0.00
01:25:14           23      0.00
01:25:14           24      0.00
01:25:14           25      0.00
01:25:14           26      0.00
01:25:14           27      0.00
01:25:14           28      0.00
01:25:14           29      0.00
01:25:14           30      0.00
01:25:14           31      0.00
01:25:14           32      0.00
01:25:14           33      0.00
01:25:14           34      0.00
01:25:14           35      0.00
01:25:14           36      0.00
01:25:14           37      0.00
01:25:14           38      0.00
01:25:14           39      0.00
01:25:14           40      0.00
01:25:14           41      0.00
01:25:14           42      0.00
01:25:14           43      0.00
01:25:14           44      0.00
01:25:14           45      0.00
01:25:14           46      0.00
01:25:14           47      0.00
01:25:14           48      0.00
01:25:14           49      0.00
01:25:14           50      0.00
01:25:14           51      0.00
01:25:14           52      0.00
01:25:14           53      0.00
01:25:14           54      0.00
01:25:14           55      0.00
01:25:14           56      0.00
01:25:14           57      0.00
01:25:14           58      0.00
01:25:14           59      0.00
01:25:14           60      0.00
01:25:14           61      0.00
01:25:14           62      0.00
01:25:14           63      0.00
Average:          sum    231.68
Average:            0      0.00
Average:            1      0.00
Average:            2     73.27
Average:            3      0.00
Average:            4      0.00
Average:            5      0.00
Average:            6      0.00
Average:            7      0.00
Average:            8      0.00
Average:            9      0.00
Average:           10      0.00
Average:           11     94.06
Average:           12      0.00
Average:           13      0.99
Average:           14      0.00
Average:           15      0.00
Average:           16      0.00
Average:           17     62.38
Average:           18      0.00
Average:           19      0.99
Average:           20      0.00
Average:           21      0.00
Average:           22      0.00
Average:           23      0.00
Average:           24      0.00
Average:           25      0.00
Average:           26      0.00
Average:           27      0.00
Average:           28      0.00
Average:           29      0.00
Average:           30      0.00
Average:           31      0.00
Average:           32      0.00
Average:           33      0.00
Average:           34      0.00
Average:           35      0.00
Average:           36      0.00
Average:           37      0.00
Average:           38      0.00
Average:           39      0.00
Average:           40      0.00
Average:           41      0.00
Average:           42      0.00
Average:           43      0.00
Average:           44      0.00
Average:           45      0.00
Average:           46      0.00
Average:           47      0.00
Average:           48      0.00
Average:           49      0.00
Average:           50      0.00
Average:           51      0.00
Average:           52      0.00
Average:           53      0.00
Average:           54      0.00
Average:           55      0.00
