Linux 6.18.35 (resarch-fixture) 	09/24/26 	_aarch64_	(5 CPU)

01:35:18        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
01:35:19        all      0.00      0.00      0.20      0.00      0.00      0.00      0.00      0.00      0.00     99.80
01:35:19          0      0.00      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     99.01
01:35:19          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:35:19          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:35:19          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:35:19          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:        all      0.00      0.00      0.20      0.00      0.00      0.00      0.00      0.00      0.00     99.80
Average:          0      0.00      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     99.01
Average:          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00

01:35:18       proc/s   cswch/s
01:35:19         0.00    234.00
Average:         0.00    234.00

01:35:18         INTR    intr/s
01:35:19          sum    164.00
01:35:19            0      0.00
01:35:19            1      0.00
01:35:19            2     11.00
01:35:19            3      0.00
01:35:19            4      0.00
01:35:19            5      0.00
01:35:19            6      0.00
01:35:19            7      0.00
01:35:19            8      0.00
01:35:19            9      0.00
01:35:19           10      0.00
01:35:19           11     88.00
01:35:19           12      0.00
01:35:19           13      1.00
01:35:19           14      0.00
01:35:19           15      0.00
01:35:19           16      0.00
01:35:19           17     63.00
01:35:19           18      0.00
01:35:19           19      1.00
01:35:19           20      0.00
01:35:19           21      0.00
01:35:19           22      0.00
01:35:19           23      0.00
01:35:19           24      0.00
01:35:19           25      0.00
01:35:19           26      0.00
01:35:19           27      0.00
01:35:19           28      0.00
01:35:19           29      0.00
01:35:19           30      0.00
01:35:19           31      0.00
01:35:19           32      0.00
01:35:19           33      0.00
01:35:19           34      0.00
01:35:19           35      0.00
01:35:19           36      0.00
01:35:19           37      0.00
01:35:19           38      0.00
01:35:19           39      0.00
01:35:19           40      0.00
01:35:19           41      0.00
01:35:19           42      0.00
01:35:19           43      0.00
01:35:19           44      0.00
01:35:19           45      0.00
01:35:19           46      0.00
01:35:19           47      0.00
01:35:19           48      0.00
01:35:19           49      0.00
01:35:19           50      0.00
01:35:19           51      0.00
01:35:19           52      0.00
01:35:19           53      0.00
01:35:19           54      0.00
01:35:19           55      0.00
01:35:19           56      0.00
01:35:19           57      0.00
01:35:19           58      0.00
01:35:19           59      0.00
01:35:19           60      0.00
01:35:19           61      0.00
01:35:19           62      0.00
01:35:19           63      0.00
Average:          sum    164.00
Average:            0      0.00
Average:            1      0.00
Average:            2     11.00
Average:            3      0.00
Average:            4      0.00
Average:            5      0.00
Average:            6      0.00
Average:            7      0.00
Average:            8      0.00
Average:            9      0.00
Average:           10      0.00
Average:           11     88.00
Average:           12      0.00
Average:           13      1.00
Average:           14      0.00
Average:           15      0.00
Average:           16      0.00
Average:           17     63.00
Average:           18      0.00
Average:           19      1.00
Average:           20      0.00
Average:           21      0.00
Average:           22      0.00
Average:           23      0.00
Average:           24      0.00
Average:           25      0.00
Average:           26      0.00
Average:           27      0.00
Average:           28      0.00
Average:           29      0.00
Average:           30      0.00
Average:           31      0.00
Average:           32      0.00
Average:           33      0.00
Average:           34      0.00
Average:           35      0.00
Average:           36      0.00
Average:           37      0.00
Average:           38      0.00
Average:           39      0.00
Average:           40      0.00
Average:           41      0.00
Average:           42      0.00
Average:           43      0.00
Average:           44      0.00
Average:           45      0.00
Average:           46      0.00
Average:           47      0.00
Average:           48      0.00
Average:           49      0.00
Average:           50      0.00
Average:           51      0.00
Average:           52      0.00
Average:           53      0.00
Average:           54      0.00
Average:           55      0.00
Average:           56      0.00
Average:           57      0.00
Average:           58      0.00
Average:           59      0.00
Average:           60      0.00
Average:           61      0.00
Average:           62      0.00
Average:           63      0.00

01:35:18     pswpin/s pswpout/s
01:35:19         0.00      0.00
Average:         0.00      0.00

01:35:18     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
01:35:19         0.00      0.00      4.00      0.00     36.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      4.00      0.00     36.00      0.00      0.00      0.00      0.00

01:35:18          tps      rtps      wtps   bread/s   bwrtn/s
01:35:19         0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00

01:35:18      frmpg/s   bufpg/s   campg/s
01:35:19       828.00      0.00     35.00
Average:       828.00      0.00     35.00

01:35:18    kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:35:19       899820    227896     20.21     17652    118456     43756      3.88     31404    107944        48      3384     22580      1680       332      4136
Average:       899820    227896     20.21     17652    118456     43756      3.88     31404    107944        48      3384     22580      1680       332      4136

01:35:18    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
01:35:19            0         0      0.00         0      0.00
Average:            0         0      0.00         0      0.00

01:35:18    kbhugfree kbhugused  %hugused
01:35:19            0         0      0.00
Average:            0         0      0.00

01:35:18    dentunusd   file-nr  inode-nr    pty-nr
01:35:19          157        32       798         0
Average:          157        32       798         0

01:35:18      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
01:35:19            1       101      0.00      0.00      0.00         0
Average:            1       101      0.00      0.00      0.00         0

01:35:18          DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
01:35:19     dev254-0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:35:19    dev254-16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:     dev254-0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    dev254-16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:35:18        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
01:35:19           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:35:19         eth0      0.00      1.00      0.00      0.08      0.00      0.00      0.00      0.00
Average:           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         eth0      0.00      1.00      0.00      0.08      0.00      0.00      0.00      0.00

01:35:18        IFACE   rxerr/s   txerr/s    coll/s  rxdrop/s  txdrop/s  txcarr/s  rxfram/s  rxfifo/s  txfifo/s
01:35:19           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:35:19         eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:35:18       call/s retrans/s    read/s   write/s  access/s  getatt/s
01:35:19         0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00
