Linux 6.18.35 (resarch-fixture) 	09/24/26 	_aarch64_	(5 CPU)

01:40:12        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
01:40:13        all      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:40:13          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:40:13          1      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
01:40:13          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:40:13          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:40:13          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:        all      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
Average:          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00

01:40:12       proc/s   cswch/s
01:40:13         0.00    349.00
Average:         0.00    349.00

01:40:12         INTR    intr/s
01:40:13          sum    275.00
01:40:13            0      0.00
01:40:13            1      0.00
01:40:13            2     87.00
01:40:13            3      0.00
01:40:13            4      0.00
01:40:13            5      0.00
01:40:13            6      0.00
01:40:13            7      0.00
01:40:13            8      0.00
01:40:13            9      0.00
01:40:13           10      0.00
01:40:13           11    120.00
01:40:13           12      0.00
01:40:13           13      2.00
01:40:13           14      0.00
01:40:13           15      0.00
01:40:13           16      0.00
01:40:13           17     65.00
01:40:13           18      0.00
01:40:13           19      1.00
01:40:13           20      0.00
01:40:13           21      0.00
01:40:13           22      0.00
01:40:13           23      0.00
01:40:13           24      0.00
01:40:13           25      0.00
01:40:13           26      0.00
01:40:13           27      0.00
01:40:13           28      0.00
01:40:13           29      0.00
01:40:13           30      0.00
01:40:13           31      0.00
01:40:13           32      0.00
01:40:13           33      0.00
01:40:13           34      0.00
01:40:13           35      0.00
01:40:13           36      0.00
01:40:13           37      0.00
01:40:13           38      0.00
01:40:13           39      0.00
01:40:13           40      0.00
01:40:13           41      0.00
01:40:13           42      0.00
01:40:13           43      0.00
01:40:13           44      0.00
01:40:13           45      0.00
01:40:13           46      0.00
01:40:13           47      0.00
01:40:13           48      0.00
01:40:13           49      0.00
01:40:13           50      0.00
01:40:13           51      0.00
01:40:13           52      0.00
01:40:13           53      0.00
01:40:13           54      0.00
01:40:13           55      0.00
01:40:13           56      0.00
01:40:13           57      0.00
01:40:13           58      0.00
01:40:13           59      0.00
01:40:13           60      0.00
01:40:13           61      0.00
01:40:13           62      0.00
01:40:13           63      0.00
Average:          sum    275.00
Average:            0      0.00
Average:            1      0.00
Average:            2     87.00
Average:            3      0.00
Average:            4      0.00
Average:            5      0.00
Average:            6      0.00
Average:            7      0.00
Average:            8      0.00
Average:            9      0.00
Average:           10      0.00
Average:           11    120.00
Average:           12      0.00
Average:           13      2.00
Average:           14      0.00
Average:           15      0.00
Average:           16      0.00
Average:           17     65.00
Average:           18      0.00
Average:           19      1.00
Average:           20      0.00
Average:           21      0.00
Average:           22      0.00
Average:           23      0.00
Average:           24      0.00
Average:           25      0.00
Average:           26      0.00
Average:           27      0.00
Average:           28      0.00
Average:           29      0.00
Average:           30      0.00
Average:           31      0.00
Average:           32      0.00
Average:           33      0.00
Average:           34      0.00
Average:           35      0.00
Average:           36      0.00
Average:           37      0.00
Average:           38      0.00
Average:           39      0.00
Average:           40      0.00
Average:           41      0.00
Average:           42      0.00
Average:           43      0.00
Average:           44      0.00
Average:           45      0.00
Average:           46      0.00
Average:           47      0.00
Average:           48      0.00
Average:           49      0.00
Average:           50      0.00
Average:           51      0.00
Average:           52      0.00
Average:           53      0.00
Average:           54      0.00
Average:           55      0.00
Average:           56      0.00
Average:           57      0.00
Average:           58      0.00
Average:           59      0.00
Average:           60      0.00
Average:           61      0.00
Average:           62      0.00
Average:           63      0.00

01:40:12     pswpin/s pswpout/s
