Linux 6.18.35 (resarch-fixture) 	09/24/26 	_aarch64_	(5 CPU)

01:40:47        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
01:40:48        all      0.00      0.00      0.00      0.00      0.00      0.00      0.20      0.00      0.00     99.80
01:40:48          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:40:48          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:40:48          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:40:48          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:40:48          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:        all      0.00      0.00      0.00      0.00      0.00      0.00      0.20      0.00      0.00     99.80
Average:          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00

01:40:47       proc/s   cswch/s
01:40:48         0.00    313.00
Average:         0.00    313.00

01:40:47         INTR    intr/s
01:40:48          sum    221.00
01:40:48            0      0.00
01:40:48            1      0.00
01:40:48            2     75.00
01:40:48            3      0.00
01:40:48            4      0.00
01:40:48            5      0.00
01:40:48            6      0.00
01:40:48            7      0.00
01:40:48            8      0.00
01:40:48            9      0.00
01:40:48           10      0.00
01:40:48           11     78.00
01:40:48           12      0.00
01:40:48           13      2.00
01:40:48           14      0.00
01:40:48           15      0.00
01:40:48           16      0.00
01:40:48           17     65.00
01:40:48           18      0.00
01:40:48           19      1.00
01:40:48           20      0.00
01:40:48           21      0.00
01:40:48           22      0.00
01:40:48           23      0.00
01:40:48           24      0.00
01:40:48           25      0.00
01:40:48           26      0.00
01:40:48           27      0.00
01:40:48           28      0.00
01:40:48           29      0.00
01:40:48           30      0.00
01:40:48           31      0.00
01:40:48           32      0.00
01:40:48           33      0.00
01:40:48           34      0.00
01:40:48           35      0.00
01:40:48           36      0.00
01:40:48           37      0.00
01:40:48           38      0.00
01:40:48           39      0.00
01:40:48           40      0.00
01:40:48           41      0.00
01:40:48           42      0.00
01:40:48           43      0.00
01:40:48           44      0.00
01:40:48           45      0.00
01:40:48           46      0.00
01:40:48           47      0.00
01:40:48           48      0.00
01:40:48           49      0.00
01:40:48           50      0.00
01:40:48           51      0.00
01:40:48           52      0.00
01:40:48           53      0.00
01:40:48           54      0.00
01:40:48           55      0.00
01:40:48           56      0.00
01:40:48           57      0.00
01:40:48           58      0.00
01:40:48           59      0.00
01:40:48           60      0.00
01:40:48           61      0.00
01:40:48           62      0.00
01:40:48           63      0.00
Average:          sum    221.00
Average:            0      0.00
Average:            1      0.00
Average:            2     75.00
Average:            3      0.00
Average:            4      0.00
Average:            5      0.00
Average:            6      0.00
Average:            7      0.00
Average:            8      0.00
Average:            9      0.00
Average:           10      0.00
Average:           11     78.00
Average:           12      0.00
Average:           13      2.00
Average:           14      0.00
Average:           15      0.00
Average:           16      0.00
Average:           17     65.00
Average:           18      0.00
Average:           19      1.00
Average:           20      0.00
Average:           21      0.00
Average:           22      0.00
Average:           23      0.00
Average:           24      0.00
Average:           25      0.00
Average:           26      0.00
Average:           27      0.00
Average:           28      0.00
Average:           29      0.00
Average:           30      0.00
Average:           31      0.00
Average:           32      0.00
Average:           33      0.00
Average:           34      0.00
Average:           35      0.00
Average:           36      0.00
Average:           37      0.00
Average:           38      0.00
Average:           39      0.00
Average:           40      0.00
Average:           41      0.00
Average:           42      0.00
Average:           43      0.00
Average:           44      0.00
Average:           45      0.00
Average:           46      0.00
Average:           47      0.00
Average:           48      0.00
Average:           49      0.00
Average:           50      0.00
Average:           51      0.00
Average:           52      0.00
Average:           53      0.00
Average:           54      0.00
Average:           55      0.00
Average:           56      0.00
Average:           57      0.00
Average:           58      0.00
Average:           59      0.00
Average:           60      0.00
Average:           61      0.00
Average:           62      0.00
Average:           63      0.00

01:40:47     pswpin/s pswpout/s
01:40:48         0.00      0.00
Average:         0.00      0.00

01:40:47     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
01:40:48         0.00      0.00      3.00      0.00     43.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      3.00      0.00     43.00      0.00      0.00      0.00      0.00

01:40:47          tps      rtps      wtps   bread/s   bwrtn/s
01:40:48         0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00

01:40:47    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:40:48       869400   1011952     84848      7.52     17580    133004     43756      3.88     37808    116220       172      3604     22884      1664       336      4104
Average:       869400   1011952     84848      7.52     17580    133004     43756      3.88     37808    116220       172      3604     22884      1664       336      4104

01:40:47    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
01:40:48            0         0      0.00         0      0.00
Average:            0         0      0.00         0      0.00

01:40:47    kbhugfree kbhugused  %hugused
01:40:48            0         0      0.00
Average:            0         0      0.00

01:40:47    dentunusd   file-nr  inode-nr    pty-nr
01:40:48          157        32       798         0
Average:          157        32       798         0

01:40:47      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
01:40:48            0       100      0.00      0.00      0.00         0
Average:            0       100      0.00      0.00      0.00         0

01:40:47          DEV       tps     rkB/s     wkB/s   areq-sz    aqu-sz     await     svctm     %util
01:40:48     dev254-0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:40:48    dev254-16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:     dev254-0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    dev254-16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:40:47        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
01:40:48           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:40:48         eth0      0.00      2.00      0.00      0.17      0.00      0.00      0.00      0.00
Average:           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         eth0      0.00      2.00      0.00      0.17      0.00      0.00      0.00      0.00

01:40:47        IFACE   rxerr/s   txerr/s    coll/s  rxdrop/s  txdrop/s  txcarr/s  rxfram/s  rxfifo/s  txfifo/s
01:40:48           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
