Linux 6.18.35 (resarch-fixture) 	09/24/26 	_aarch64_	(5 CPU)

01:43:23        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
01:43:24        all      0.00      0.00      0.00      0.00      0.00      0.00      0.20      0.00      0.00     99.80
01:43:24          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:43:24          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:43:24          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:43:24          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:43:24          4      0.00      0.00      0.00      0.00      0.00      0.00      0.98      0.00      0.00     99.02
Average:        all      0.00      0.00      0.00      0.00      0.00      0.00      0.20      0.00      0.00     99.80
Average:          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      0.00      0.00      0.00      0.00      0.98      0.00      0.00     99.02

01:43:23       proc/s   cswch/s
01:43:24         0.00    354.46
Average:         0.00    354.46

01:43:23         INTR    intr/s
01:43:24          sum    236.63
01:43:24            0      0.00
01:43:24            1      0.00
01:43:24            2     84.16
01:43:24            3      0.00
01:43:24            4      0.00
01:43:24            5      0.00
01:43:24            6      0.00
01:43:24            7      0.00
01:43:24            8      0.00
01:43:24            9      0.00
01:43:24           10      0.00
01:43:24           11     72.28
01:43:24           12      0.00
01:43:24           13      0.99
01:43:24           14      0.00
01:43:24           15      0.00
01:43:24           16      0.00
01:43:24           17     78.22
01:43:24           18      0.00
01:43:24           19      0.99
01:43:24           20      0.00
01:43:24           21      0.00
01:43:24           22      0.00
01:43:24           23      0.00
01:43:24           24      0.00
01:43:24           25      0.00
01:43:24           26      0.00
01:43:24           27      0.00
01:43:24           28      0.00
01:43:24           29      0.00
01:43:24           30      0.00
01:43:24           31      0.00
01:43:24           32      0.00
01:43:24           33      0.00
01:43:24           34      0.00
01:43:24           35      0.00
01:43:24           36      0.00
01:43:24           37      0.00
01:43:24           38      0.00
01:43:24           39      0.00
01:43:24           40      0.00
01:43:24           41      0.00
01:43:24           42      0.00
01:43:24           43      0.00
01:43:24           44      0.00
01:43:24           45      0.00
01:43:24           46      0.00
01:43:24           47      0.00
01:43:24           48      0.00
01:43:24           49      0.00
01:43:24           50      0.00
01:43:24           51      0.00
01:43:24           52      0.00
01:43:24           53      0.00
01:43:24           54      0.00
01:43:24           55      0.00
01:43:24           56      0.00
01:43:24           57      0.00
01:43:24           58      0.00
01:43:24           59      0.00
01:43:24           60      0.00
01:43:24           61      0.00
01:43:24           62      0.00
01:43:24           63      0.00
Average:          sum    236.63
Average:            0      0.00
