Linux 6.18.35 (resarch-fixture) 	09/24/26 	_aarch64_	(5 CPU)

01:43:47        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
01:43:48        all      0.20      0.00      0.20      0.00      0.00      0.00      0.20      0.00      0.00     99.40
01:43:48          0      0.00      0.00      0.98      0.00      0.00      0.00      0.98      0.00      0.00     98.04
01:43:48          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:43:48          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:43:48          3      0.99      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.01
01:43:48          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:        all      0.20      0.00      0.20      0.00      0.00      0.00      0.20      0.00      0.00     99.40
Average:          0      0.00      0.00      0.98      0.00      0.00      0.00      0.98      0.00      0.00     98.04
Average:          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.99      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.01
Average:          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00

01:43:47       proc/s   cswch/s
01:43:48         0.00    381.19
Average:         0.00    381.19

01:43:47         INTR    intr/s
01:43:48          sum    282.18
01:43:48            0      0.00
01:43:48            1      0.00
01:43:48            2     99.01
01:43:48            3      0.00
01:43:48            4      0.00
01:43:48            5      0.00
01:43:48            6      0.00
01:43:48            7      0.00
01:43:48            8      0.00
01:43:48            9      0.00
01:43:48           10      0.00
01:43:48           11    101.98
01:43:48           12      0.00
01:43:48           13      0.99
01:43:48           14      0.00
01:43:48           15      0.00
01:43:48           16      0.00
01:43:48           17     78.22
01:43:48           18      1.98
01:43:48           19      0.00
01:43:48           20      0.00
01:43:48           21      0.00
01:43:48           22      0.00
01:43:48           23      0.00
01:43:48           24      0.00
01:43:48           25      0.00
01:43:48           26      0.00
01:43:48           27      0.00
01:43:48           28      0.00
01:43:48           29      0.00
01:43:48           30      0.00
01:43:48           31      0.00
01:43:48           32      0.00
01:43:48           33      0.00
01:43:48           34      0.00
01:43:48           35      0.00
01:43:48           36      0.00
01:43:48           37      0.00
01:43:48           38      0.00
01:43:48           39      0.00
01:43:48           40      0.00
01:43:48           41      0.00
01:43:48           42      0.00
01:43:48           43      0.00
01:43:48           44      0.00
01:43:48           45      0.00
01:43:48           46      0.00
01:43:48           47      0.00
01:43:48           48      0.00
01:43:48           49      0.00
01:43:48           50      0.00
01:43:48           51      0.00
01:43:48           52      0.00
01:43:48           53      0.00
01:43:48           54      0.00
01:43:48           55      0.00
01:43:48           56      0.00
01:43:48           57      0.00
01:43:48           58      0.00
01:43:48           59      0.00
01:43:48           60      0.00
01:43:48           61      0.00
01:43:48           62      0.00
01:43:48           63      0.00
Average:          sum    282.18
Average:            0      0.00
Average:            1      0.00
Average:            2     99.01
Average:            3      0.00
Average:            4      0.00
Average:            5      0.00
Average:            6      0.00
Average:            7      0.00
Average:            8      0.00
Average:            9      0.00
Average:           10      0.00
Average:           11    101.98
Average:           12      0.00
Average:           13      0.99
Average:           14      0.00
Average:           15      0.00
Average:           16      0.00
Average:           17     78.22
Average:           18      1.98
Average:           19      0.00
Average:           20      0.00
Average:           21      0.00
Average:           22      0.00
Average:           23      0.00
Average:           24      0.00
Average:           25      0.00
Average:           26      0.00
Average:           27      0.00
Average:           28      0.00
Average:           29      0.00
Average:           30      0.00
Average:           31      0.00
Average:           32      0.00
Average:           33      0.00
Average:           34      0.00
Average:           35      0.00
Average:           36      0.00
Average:           37      0.00
Average:           38      0.00
Average:           39      0.00
Average:           40      0.00
Average:           41      0.00
Average:           42      0.00
Average:           43      0.00
Average:           44      0.00
Average:           45      0.00
Average:           46      0.00
Average:           47      0.00
Average:           48      0.00
Average:           49      0.00
Average:           50      0.00
Average:           51      0.00
Average:           52      0.00
Average:           53      0.00
Average:           54      0.00
Average:           55      0.00
Average:           56      0.00
Average:           57      0.00
Average:           58      0.00
Average:           59      0.00
Average:           60      0.00
Average:           61      0.00
Average:           62      0.00
Average:           63      0.00

01:43:47     pswpin/s pswpout/s
01:43:48         0.00      0.00
Average:         0.00      0.00

01:43:47     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
01:43:48         0.00      0.00     32.67      0.00     28.71      0.00      0.00      0.00      0.00
Average:         0.00      0.00     32.67      0.00     28.71      0.00      0.00      0.00      0.00

01:43:47          tps      rtps      wtps   bread/s   bwrtn/s
01:43:48         0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00

01:43:47    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:43:48       891780   1020388     76240      6.76     17644    119056     43744      3.88     33256    106828        44      3592     22996      1664       332      4152
Average:       891780   1020388     76240      6.76     17644    119056     43744      3.88     33256    106828        44      3592     22996      1664       332      4152

01:43:47    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
01:43:48            0         0      0.00         0      0.00
Average:            0         0      0.00         0      0.00

01:43:47    kbhugfree kbhugused  %hugused
01:43:48            0         0      0.00
Average:            0         0      0.00

01:43:47    dentunusd   file-nr  inode-nr    pty-nr
01:43:48          157        32       798         0
Average:          157        32       798         0

01:43:47      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
01:43:48            0       100      0.00      0.00      0.00         0
Average:            0       100      0.00      0.00      0.00         0

01:43:47          DEV       tps     rkB/s     wkB/s   areq-sz    aqu-sz     await     svctm     %util
01:43:48     dev254-0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:43:48    dev254-16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:     dev254-0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    dev254-16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:43:47        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
01:43:48           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:43:48         eth0      0.00      1.98      0.00      0.15      0.00      0.00      0.00      0.00
Average:           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         eth0      0.00      1.98      0.00      0.15      0.00      0.00      0.00      0.00

01:43:47        IFACE   rxerr/s   txerr/s    coll/s  rxdrop/s  txdrop/s  txcarr/s  rxfram/s  rxfifo/s  txfifo/s
01:43:48           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:43:48         eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:43:47       call/s retrans/s    read/s   write/s  access/s  getatt/s
01:43:48         0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00

01:43:47      scall/s badcall/s  packet/s     udp/s     tcp/s     hit/s    miss/s   sread/s  swrite/s saccess/s sgetatt/s
01:43:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:43:47       totsck    tcpsck    udpsck    rawsck   ip-frag    tcp-tw
01:43:48            5         0         0         0         0         0
Average:            5         0         0         0         0         0

01:43:47       irec/s  fwddgm/s    idel/s     orq/s   asmrq/s   asmok/s  fragok/s fragcrt/s
01:43:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:43:47    ihdrerr/s iadrerr/s iukwnpr/s   idisc/s   odisc/s   onort/s    asmf/s   fragf/s
01:43:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:43:47       imsg/s    omsg/s    iech/s   iechr/s    oech/s   oechr/s     itm/s    itmr/s     otm/s    otmr/s  iadrmk/s iadrmkr/s  oadrmk/s oadrmkr/s
01:43:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:43:47       ierr/s    oerr/s idstunr/s odstunr/s   itmex/s   otmex/s iparmpb/s oparmpb/s   isrcq/s   osrcq/s  iredir/s  oredir/s
01:43:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:43:47     active/s passive/s    iseg/s    oseg/s
01:43:48         0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00

01:43:47     atmptf/s  estres/s retrans/s isegerr/s   orsts/s
01:43:48         0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00

01:43:47       idgm/s    odgm/s  noport/s idgmerr/s
01:43:48         0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00

01:43:47      tcp6sck   udp6sck   raw6sck  ip6-frag
01:43:48            0         0         0         0
Average:            0         0         0         0

01:43:47      irec6/s fwddgm6/s   idel6/s    orq6/s  asmrq6/s  asmok6/s imcpck6/s omcpck6/s fragok6/s fragcr6/s
01:43:48         0.00      0.00      0.00      1.98      0.00      0.00      0.00      1.98      0.00      0.00
Average:         0.00      0.00      0.00      1.98      0.00      0.00      0.00      1.98      0.00      0.00

01:43:47    ihdrer6/s iadrer6/s iukwnp6/s  i2big6/s  idisc6/s  odisc6/s  inort6/s  onort6/s   asmf6/s  fragf6/s itrpck6/s
01:43:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:43:47      imsg6/s   omsg6/s   iech6/s  iechr6/s  oechr6/s  igmbq6/s  igmbr6/s  ogmbr6/s igmbrd6/s ogmbrd6/s irtsol6/s ortsol6/s  irtad6/s inbsol6/s onbsol6/s  inbad6/s  onbad6/s
01:43:48         0.00      1.98      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.99      0.00      0.00      0.00      0.00      0.00
Average:         0.00      1.98      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.99      0.00      0.00      0.00      0.00      0.00

01:43:47      ierr6/s idtunr6/s odtunr6/s  itmex6/s  otmex6/s iprmpb6/s oprmpb6/s iredir6/s oredir6/s ipck2b6/s opck2b6/s
01:43:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

