Linux 6.18.35 (resarch-fixture) 	09/24/26 	_aarch64_	(5 CPU)

01:47:20        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
01:47:21        all      0.00      0.00      0.20      0.00      0.00      0.00      0.20      0.00      0.00     99.60
01:47:21          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:47:21          1      0.00      0.00      0.00      0.00      0.00      0.00      0.99      0.00      0.00     99.01
01:47:21          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:47:21          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:47:21          4      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
Average:        all      0.00      0.00      0.20      0.00      0.00      0.00      0.20      0.00      0.00     99.60
Average:          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00      0.00      0.99      0.00      0.00     99.01
Average:          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00

01:47:20       proc/s   cswch/s
01:47:21         0.00    355.00
Average:         0.00    355.00

01:47:20         INTR    intr/s
01:47:21          sum    240.00
01:47:21            0      0.00
01:47:21            1      0.00
01:47:21            2     92.00
01:47:21            3      0.00
01:47:21            4      0.00
01:47:21            5      0.00
01:47:21            6      0.00
01:47:21            7      0.00
01:47:21            8      0.00
01:47:21            9      0.00
01:47:21           10      0.00
01:47:21           11     67.00
01:47:21           12      0.00
01:47:21           13      1.00
01:47:21           14      0.00
01:47:21           15      0.00
01:47:21           16      0.00
01:47:21           17     79.00
01:47:21           18      0.00
01:47:21           19      1.00
01:47:21           20      0.00
01:47:21           21      0.00
01:47:21           22      0.00
01:47:21           23      0.00
01:47:21           24      0.00
01:47:21           25      0.00
01:47:21           26      0.00
01:47:21           27      0.00
01:47:21           28      0.00
01:47:21           29      0.00
01:47:21           30      0.00
01:47:21           31      0.00
01:47:21           32      0.00
01:47:21           33      0.00
01:47:21           34      0.00
01:47:21           35      0.00
01:47:21           36      0.00
01:47:21           37      0.00
01:47:21           38      0.00
01:47:21           39      0.00
01:47:21           40      0.00
01:47:21           41      0.00
01:47:21           42      0.00
01:47:21           43      0.00
01:47:21           44      0.00
01:47:21           45      0.00
01:47:21           46      0.00
01:47:21           47      0.00
01:47:21           48      0.00
01:47:21           49      0.00
01:47:21           50      0.00
01:47:21           51      0.00
01:47:21           52      0.00
01:47:21           53      0.00
01:47:21           54      0.00
01:47:21           55      0.00
01:47:21           56      0.00
01:47:21           57      0.00
01:47:21           58      0.00
01:47:21           59      0.00
01:47:21           60      0.00
01:47:21           61      0.00
01:47:21           62      0.00
01:47:21           63      0.00
Average:          sum    240.00
Average:            0      0.00
Average:            1      0.00
Average:            2     92.00
Average:            3      0.00
Average:            4      0.00
Average:            5      0.00
Average:            6      0.00
Average:            7      0.00
Average:            8      0.00
Average:            9      0.00
Average:           10      0.00
Average:           11     67.00
Average:           12      0.00
Average:           13      1.00
Average:           14      0.00
Average:           15      0.00
Average:           16      0.00
Average:           17     79.00
Average:           18      0.00
Average:           19      1.00
Average:           20      0.00
Average:           21      0.00
Average:           22      0.00
Average:           23      0.00
Average:           24      0.00
Average:           25      0.00
Average:           26      0.00
Average:           27      0.00
Average:           28      0.00
Average:           29      0.00
Average:           30      0.00
Average:           31      0.00
Average:           32      0.00
Average:           33      0.00
Average:           34      0.00
Average:           35      0.00
Average:           36      0.00
Average:           37      0.00
Average:           38      0.00
Average:           39      0.00
Average:           40      0.00
Average:           41      0.00
Average:           42      0.00
Average:           43      0.00
Average:           44      0.00
Average:           45      0.00
Average:           46      0.00
Average:           47      0.00
Average:           48      0.00
Average:           49      0.00
Average:           50      0.00
Average:           51      0.00
Average:           52      0.00
Average:           53      0.00
Average:           54      0.00
Average:           55      0.00
Average:           56      0.00
Average:           57      0.00
Average:           58      0.00
Average:           59      0.00
Average:           60      0.00
Average:           61      0.00
Average:           62      0.00
Average:           63      0.00

01:47:20     pswpin/s pswpout/s
01:47:21         0.00      0.00
Average:         0.00      0.00

01:47:20     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
01:47:21         0.00      0.00      3.00      0.00     13.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      3.00      0.00     13.00      0.00      0.00      0.00      0.00

01:47:20          tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
01:47:21         0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:47:20    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:47:21       890116   1018292     78636      6.97     17640    118624     43612      3.87     31276    108196        44      3344     22700      1664       324      4104
Average:       890116   1018292     78636      6.97     17640    118624     43612      3.87     31276    108196        44      3344     22700      1664       324      4104

01:47:20    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
01:47:21            0         0      0.00         0      0.00
Average:            0         0      0.00         0      0.00

01:47:20    kbhugfree kbhugused  %hugused kbhugrsvd kbhugsurp
01:47:21            0         0      0.00         0         0
