Linux 6.18.35 (resarch-fixture) 	09/24/26 	_aarch64_	(5 CPU)

01:48:37        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
01:48:38        all      0.00      0.00      0.40      0.00      0.00      0.00      0.00      0.00      0.00     99.60
01:48:38          0      0.00      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     99.01
01:48:38          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:48:38          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:48:38          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:48:38          4      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
Average:        all      0.00      0.00      0.40      0.00      0.00      0.00      0.00      0.00      0.00     99.60
Average:          0      0.00      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     99.01
Average:          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00

01:48:37       proc/s   cswch/s
01:48:38         0.00    358.42
Average:         0.00    358.42

01:48:37         INTR    intr/s
01:48:38          sum    242.57
01:48:38            0      0.00
01:48:38            1      0.00
01:48:38            2     92.08
01:48:38            3      0.00
01:48:38            4      0.00
01:48:38            5      0.00
01:48:38            6      0.00
01:48:38            7      0.00
01:48:38            8      0.00
01:48:38            9      0.00
01:48:38           10      0.00
01:48:38           11     69.31
01:48:38           12      0.00
01:48:38           13      1.98
01:48:38           14      0.00
01:48:38           15      0.00
01:48:38           16      0.00
01:48:38           17     78.22
01:48:38           18      0.00
01:48:38           19      0.99
01:48:38           20      0.00
01:48:38           21      0.00
01:48:38           22      0.00
01:48:38           23      0.00
01:48:38           24      0.00
01:48:38           25      0.00
01:48:38           26      0.00
01:48:38           27      0.00
01:48:38           28      0.00
01:48:38           29      0.00
01:48:38           30      0.00
01:48:38           31      0.00
01:48:38           32      0.00
01:48:38           33      0.00
01:48:38           34      0.00
01:48:38           35      0.00
01:48:38           36      0.00
01:48:38           37      0.00
01:48:38           38      0.00
01:48:38           39      0.00
01:48:38           40      0.00
01:48:38           41      0.00
01:48:38           42      0.00
01:48:38           43      0.00
01:48:38           44      0.00
01:48:38           45      0.00
01:48:38           46      0.00
01:48:38           47      0.00
01:48:38           48      0.00
01:48:38           49      0.00
01:48:38           50      0.00
01:48:38           51      0.00
01:48:38           52      0.00
01:48:38           53      0.00
01:48:38           54      0.00
01:48:38           55      0.00
01:48:38           56      0.00
01:48:38           57      0.00
01:48:38           58      0.00
01:48:38           59      0.00
