Linux 6.18.35 (resarch-fixture) 	09/24/26 	_aarch64_	(5 CPU)

01:14:05        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
01:14:06        all      0.00      0.00      0.20      0.00      0.00      0.00      0.00      0.00     99.80
01:14:06          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:14:06          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:14:06          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:14:06          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:14:06          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:        all      0.00      0.00      0.20      0.00      0.00      0.00      0.00      0.00     99.80
Average:          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00

01:14:05       proc/s   cswch/s
01:14:06         0.00    189.00
Average:         0.00    189.00

01:14:05         INTR    intr/s
01:14:06          sum    153.00
01:14:06            0      0.00
01:14:06            1      0.00
01:14:06            2     45.00
01:14:06            3      0.00
01:14:06            4      0.00
01:14:06            5      0.00
01:14:06            6      0.00
01:14:06            7      0.00
01:14:06            8      0.00
01:14:06            9      0.00
01:14:06           10      0.00
01:14:06           11     73.00
01:14:06           12      0.00
01:14:06           13      1.00
01:14:06           14      0.00
01:14:06           15      0.00
01:14:06           16      0.00
01:14:06           17     33.00
01:14:06           18      0.00
01:14:06           19      1.00
01:14:06           20      0.00
01:14:06           21      0.00
01:14:06           22      0.00
01:14:06           23      0.00
01:14:06           24      0.00
01:14:06           25      0.00
01:14:06           26      0.00
01:14:06           27      0.00
01:14:06           28      0.00
01:14:06           29      0.00
01:14:06           30      0.00
01:14:06           31      0.00
01:14:06           32      0.00
01:14:06           33      0.00
01:14:06           34      0.00
01:14:06           35      0.00
01:14:06           36      0.00
01:14:06           37      0.00
01:14:06           38      0.00
01:14:06           39      0.00
01:14:06           40      0.00
01:14:06           41      0.00
01:14:06           42      0.00
01:14:06           43      0.00
01:14:06           44      0.00
01:14:06           45      0.00
01:14:06           46      0.00
01:14:06           47      0.00
01:14:06           48      0.00
01:14:06           49      0.00
01:14:06           50      0.00
01:14:06           51      0.00
01:14:06           52      0.00
01:14:06           53      0.00
01:14:06           54      0.00
01:14:06           55      0.00
01:14:06           56      0.00
01:14:06           57      0.00
01:14:06           58      0.00
01:14:06           59      0.00
01:14:06           60      0.00
01:14:06           61      0.00
01:14:06           62      0.00
01:14:06           63      0.00
Average:          sum    153.00
Average:            0      0.00
Average:            1      0.00
Average:            2     45.00
Average:            3      0.00
Average:            4      0.00
Average:            5      0.00
Average:            6      0.00
Average:            7      0.00
Average:            8      0.00
Average:            9      0.00
