Linux 6.18.35 (resarch-fixture) 	09/24/26 	_aarch64_	(5 CPU)

01:23:10        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
01:23:11        all      0.00      0.00      0.20      0.00      0.00      0.00      0.00      0.00     99.80
01:23:11          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:23:11          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:23:11          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
01:23:11          3      0.00      0.00      0.99      0.00      0.00      0.00      0.00      0.00     99.01
01:23:11          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:        all      0.00      0.00      0.20      0.00      0.00      0.00      0.00      0.00     99.80
Average:          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.99      0.00      0.00      0.00      0.00      0.00     99.01
Average:          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00

01:23:10       proc/s   cswch/s
01:23:11         0.00    308.91
Average:         0.00    308.91

01:23:10         INTR    intr/s
01:23:11          sum    244.55
01:23:11            0      0.00
01:23:11            1      0.00
01:23:11            2     76.24
01:23:11            3      0.00
01:23:11            4      0.00
01:23:11            5      0.00
01:23:11            6      0.00
01:23:11            7      0.00
01:23:11            8      0.00
01:23:11            9      0.00
01:23:11           10      0.00
01:23:11           11    101.98
01:23:11           12      0.00
01:23:11           13      3.96
01:23:11           14      0.00
01:23:11           15      0.00
01:23:11           16      0.00
01:23:11           17     61.39
01:23:11           18      0.00
01:23:11           19      0.99
01:23:11           20      0.00
01:23:11           21      0.00
01:23:11           22      0.00
01:23:11           23      0.00
01:23:11           24      0.00
01:23:11           25      0.00
01:23:11           26      0.00
01:23:11           27      0.00
01:23:11           28      0.00
01:23:11           29      0.00
01:23:11           30      0.00
01:23:11           31      0.00
01:23:11           32      0.00
01:23:11           33      0.00
01:23:11           34      0.00
01:23:11           35      0.00
01:23:11           36      0.00
01:23:11           37      0.00
01:23:11           38      0.00
01:23:11           39      0.00
01:23:11           40      0.00
01:23:11           41      0.00
01:23:11           42      0.00
01:23:11           43      0.00
01:23:11           44      0.00
01:23:11           45      0.00
01:23:11           46      0.00
01:23:11           47      0.00
01:23:11           48      0.00
01:23:11           49      0.00
01:23:11           50      0.00
01:23:11           51      0.00
01:23:11           52      0.00
01:23:11           53      0.00
01:23:11           54      0.00
01:23:11           55      0.00
01:23:11           56      0.00
01:23:11           57      0.00
01:23:11           58      0.00
01:23:11           59      0.00
01:23:11           60      0.00
01:23:11           61      0.00
01:23:11           62      0.00
01:23:11           63      0.00
Average:          sum    244.55
Average:            0      0.00
Average:            1      0.00
Average:            2     76.24
Average:            3      0.00
Average:            4      0.00
Average:            5      0.00
Average:            6      0.00
Average:            7      0.00
Average:            8      0.00
Average:            9      0.00
Average:           10      0.00
Average:           11    101.98
Average:           12      0.00
Average:           13      3.96
Average:           14      0.00
Average:           15      0.00
Average:           16      0.00
Average:           17     61.39
Average:           18      0.00
Average:           19      0.99
Average:           20      0.00
Average:           21      0.00
Average:           22      0.00
Average:           23      0.00
Average:           24      0.00
Average:           25      0.00
Average:           26      0.00
Average:           27      0.00
Average:           28      0.00
Average:           29      0.00
Average:           30      0.00
Average:           31      0.00
Average:           32      0.00
Average:           33      0.00
Average:           34      0.00
Average:           35      0.00
Average:           36      0.00
Average:           37      0.00
Average:           38      0.00
Average:           39      0.00
Average:           40      0.00
Average:           41      0.00
Average:           42      0.00
Average:           43      0.00
Average:           44      0.00
Average:           45      0.00
Average:           46      0.00
Average:           47      0.00
Average:           48      0.00
Average:           49      0.00
Average:           50      0.00
Average:           51      0.00
Average:           52      0.00
Average:           53      0.00
Average:           54      0.00
Average:           55      0.00
Average:           56      0.00
Average:           57      0.00
Average:           58      0.00
Average:           59      0.00
Average:           60      0.00
Average:           61      0.00
Average:           62      0.00
Average:           63      0.00

01:23:10     pswpin/s pswpout/s
01:23:11         0.00      0.00
Average:         0.00      0.00

01:23:10     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
01:23:11         0.00      0.00      1.98      0.00     39.60      0.00      0.00      0.00      0.00
Average:         0.00      0.00      1.98      0.00     39.60      0.00      0.00      0.00      0.00

01:23:10          tps      rtps      wtps   bread/s   bwrtn/s
01:23:11         0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00

01:23:10      frmpg/s   bufpg/s   campg/s
01:23:11       749.50      0.00     47.52
Average:       749.50      0.00     47.52

01:23:10    kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit
01:23:11       890708    237008     21.02     17580    118416     43740      3.88
Average:       890708    237008     21.02     17580    118416     43740      3.88

01:23:10    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
01:23:11            0         0      0.00         0      0.00
Average:            0         0      0.00         0      0.00

01:23:10    dentunusd   file-nr  inode-nr    pty-nr
01:23:11          149        32       783         0
Average:          149        32       783         0

01:23:10      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15
01:23:11            0       101      0.00      0.00      0.00
Average:            0       101      0.00      0.00      0.00

01:23:10          DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
01:23:11     dev254-0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:23:11    dev254-16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:     dev254-0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    dev254-16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:23:10        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
01:23:11           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:23:11         eth0      0.99      3.96      0.14      0.33      0.00      0.00      0.00
Average:           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         eth0      0.99      3.96      0.14      0.33      0.00      0.00      0.00

01:23:10        IFACE   rxerr/s   txerr/s    coll/s  rxdrop/s  txdrop/s  txcarr/s  rxfram/s  rxfifo/s  txfifo/s
01:23:11           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
01:23:11         eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:23:10       call/s retrans/s    read/s   write/s  access/s  getatt/s
01:23:11         0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00

01:23:10      scall/s badcall/s  packet/s     udp/s     tcp/s     hit/s    miss/s   sread/s  swrite/s saccess/s sgetatt/s
01:23:11         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:23:10       totsck    tcpsck    udpsck    rawsck   ip-frag    tcp-tw
01:23:11            5         0         0         0         0         0
Average:            5         0         0         0         0         0

01:23:10       irec/s  fwddgm/s    idel/s     orq/s   asmrq/s   asmok/s  fragok/s fragcrt/s
01:23:11         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:23:10    ihdrerr/s iadrerr/s iukwnpr/s   idisc/s   odisc/s   onort/s    asmf/s   fragf/s
01:23:11         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:23:10       imsg/s    omsg/s    iech/s   iechr/s    oech/s   oechr/s     itm/s    itmr/s     otm/s    otmr/s  iadrmk/s iadrmkr/s  oadrmk/s oadrmkr/s
01:23:11         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:23:10       ierr/s    oerr/s idstunr/s odstunr/s   itmex/s   otmex/s iparmpb/s oparmpb/s   isrcq/s   osrcq/s  iredir/s  oredir/s
01:23:11         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

01:23:10     active/s passive/s    iseg/s    oseg/s
01:23:11         0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00

01:23:10     atmptf/s  estres/s retrans/s isegerr/s   orsts/s
01:23:11         0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00

01:23:10       idgm/s    odgm/s  noport/s idgmerr/s
01:23:11         0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00

01:23:10      tcp6sck   udp6sck   raw6sck  ip6-frag
01:23:11            0         0         0         0
Average:            0         0         0         0

