Linux 6.18.35 (resarch-fixture) 	09/23/26 	_x86_64_	(5 CPU)

23:08:43        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
23:08:44        all      0.40      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.60
23:08:44          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
23:08:44          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
23:08:44          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
23:08:44          3      1.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00     98.00
23:08:44          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:        all      0.40      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.60
Average:          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      1.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00     98.00
Average:          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00

23:08:43       proc/s   cswch/s
23:08:44         0.00    284.00
Average:         0.00    284.00

23:08:43         INTR    intr/s
23:08:44          sum    190.00
23:08:44            0      0.00
23:08:44            1      0.00
23:08:44            2     74.00
23:08:44            3      0.00
23:08:44            4      0.00
23:08:44            5      0.00
23:08:44            6      0.00
23:08:44            7      0.00
23:08:44            8      0.00
23:08:44            9      0.00
23:08:44           10      0.00
23:08:44           11     45.00
23:08:44           12      0.00
23:08:44           13      7.00
23:08:44           14      0.00
23:08:44           15      0.00
23:08:44           16      0.00
23:08:44           17      1.00
23:08:44           18     62.00
23:08:44           19      0.00
23:08:44           20      1.00
23:08:44           21      0.00
23:08:44           22      0.00
23:08:44           23      0.00
23:08:44           24      0.00
23:08:44           25      0.00
23:08:44           26      0.00
23:08:44           27      0.00
23:08:44           28      0.00
23:08:44           29      0.00
23:08:44           30      0.00
23:08:44           31      0.00
23:08:44           32      0.00
23:08:44           33      0.00
23:08:44           34      0.00
23:08:44           35      0.00
23:08:44           36      0.00
23:08:44           37      0.00
23:08:44           38      0.00
23:08:44           39      0.00
23:08:44           40      0.00
23:08:44           41      0.00
23:08:44           42      0.00
23:08:44           43      0.00
23:08:44           44      0.00
23:08:44           45      0.00
23:08:44           46      0.00
23:08:44           47      0.00
23:08:44           48      0.00
23:08:44           49      0.00
23:08:44           50      0.00
23:08:44           51      0.00
23:08:44           52      0.00
23:08:44           53      0.00
23:08:44           54      0.00
23:08:44           55      0.00
23:08:44           56      0.00
23:08:44           57      0.00
23:08:44           58      0.00
23:08:44           59      0.00
23:08:44           60      0.00
23:08:44           61      0.00
23:08:44           62      0.00
23:08:44           63      0.00
Average:          sum    190.00
Average:            0      0.00
Average:            1      0.00
Average:            2     74.00
Average:            3      0.00
Average:            4      0.00
Average:            5      0.00
Average:            6      0.00
Average:            7      0.00
Average:            8      0.00
Average:            9      0.00
Average:           10      0.00
Average:           11     45.00
Average:           12      0.00
Average:           13      7.00
Average:           14      0.00
Average:           15      0.00
Average:           16      0.00
Average:           17      1.00
Average:           18     62.00
Average:           19      0.00
Average:           20      1.00
Average:           21      0.00
Average:           22      0.00
Average:           23      0.00
Average:           24      0.00
Average:           25      0.00
Average:           26      0.00
Average:           27      0.00
Average:           28      0.00
Average:           29      0.00
Average:           30      0.00
Average:           31      0.00
Average:           32      0.00
Average:           33      0.00
Average:           34      0.00
Average:           35      0.00
Average:           36      0.00
Average:           37      0.00
Average:           38      0.00
Average:           39      0.00
Average:           40      0.00
Average:           41      0.00
Average:           42      0.00
Average:           43      0.00
Average:           44      0.00
Average:           45      0.00
Average:           46      0.00
Average:           47      0.00
Average:           48      0.00
Average:           49      0.00
Average:           50      0.00
Average:           51      0.00
Average:           52      0.00
Average:           53      0.00
Average:           54      0.00
Average:           55      0.00
Average:           56      0.00
Average:           57      0.00
Average:           58      0.00
Average:           59      0.00
Average:           60      0.00
Average:           61      0.00
Average:           62      0.00
Average:           63      0.00

23:08:43     pswpin/s pswpout/s
23:08:44         0.00      0.00
Average:         0.00      0.00

23:08:43     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
23:08:44         0.00      0.00     92.00      1.00     45.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00     92.00      1.00     45.00      0.00      0.00      0.00      0.00

23:08:43          tps      rtps      wtps   bread/s   bwrtn/s
23:08:44         0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00

23:08:43      frmpg/s   bufpg/s   campg/s
23:08:44         0.00      0.00     19.00
Average:         0.00      0.00     19.00

23:08:43    kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit
23:08:44       841048    286668     25.42     19664    165344    364452     32.32
Average:       841048    286668     25.42     19664    165344    364452     32.32

23:08:43    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
23:08:44            0         0      0.00         0      0.00
Average:            0         0      0.00         0      0.00

23:08:43    dentunusd   file-nr  inode-nr    pty-nr
23:08:44          622        41      1131         0
Average:          622        41      1131         0

23:08:43      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15
23:08:44            0       100      0.00      0.00      0.00
Average:            0       100      0.00      0.00      0.00

