Linux 6.18.35 (resarch-fixture) 	09/23/26 	_x86_64_	(5 CPU)

23:08:54        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
23:08:55        all      0.00      0.00      0.20      0.00      0.00      0.00      0.20      0.00     99.60
23:08:55          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
23:08:55          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
23:08:55          2      0.00      0.00      0.00      0.00      0.00      0.00      0.99      0.00     99.01
23:08:55          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
23:08:55          4      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     99.00
Average:        all      0.00      0.00      0.20      0.00      0.00      0.00      0.20      0.00     99.60
Average:          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00      0.00      0.99      0.00     99.01
Average:          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     99.00

23:08:54       proc/s   cswch/s
23:08:55         0.00    304.00
Average:         0.00    304.00

23:08:54         INTR    intr/s
23:08:55          sum    219.00
23:08:55            0      0.00
23:08:55            1      0.00
23:08:55            2     74.00
23:08:55            3      0.00
23:08:55            4      0.00
23:08:55            5      0.00
23:08:55            6      0.00
23:08:55            7      0.00
23:08:55            8      0.00
23:08:55            9      0.00
23:08:55           10      0.00
23:08:55           11     77.00
23:08:55           12      0.00
23:08:55           13      4.00
23:08:55           14      0.00
23:08:55           15      0.00
23:08:55           16      0.00
23:08:55           17      1.00
23:08:55           18     62.00
23:08:55           19      0.00
23:08:55           20      1.00
23:08:55           21      0.00
23:08:55           22      0.00
23:08:55           23      0.00
23:08:55           24      0.00
23:08:55           25      0.00
23:08:55           26      0.00
23:08:55           27      0.00
23:08:55           28      0.00
23:08:55           29      0.00
23:08:55           30      0.00
23:08:55           31      0.00
23:08:55           32      0.00
23:08:55           33      0.00
23:08:55           34      0.00
23:08:55           35      0.00
23:08:55           36      0.00
23:08:55           37      0.00
23:08:55           38      0.00
23:08:55           39      0.00
23:08:55           40      0.00
23:08:55           41      0.00
23:08:55           42      0.00
23:08:55           43      0.00
23:08:55           44      0.00
23:08:55           45      0.00
23:08:55           46      0.00
23:08:55           47      0.00
23:08:55           48      0.00
23:08:55           49      0.00
23:08:55           50      0.00
23:08:55           51      0.00
23:08:55           52      0.00
23:08:55           53      0.00
23:08:55           54      0.00
23:08:55           55      0.00
23:08:55           56      0.00
23:08:55           57      0.00
23:08:55           58      0.00
23:08:55           59      0.00
23:08:55           60      0.00
23:08:55           61      0.00
23:08:55           62      0.00
23:08:55           63      0.00
Average:          sum    219.00
Average:            0      0.00
Average:            1      0.00
Average:            2     74.00
Average:            3      0.00
Average:            4      0.00
