Linux 6.18.35 (resarch-fixture) 	09/23/26 	_x86_64_	(5 CPU)

23:08:58        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
23:09:00        all      0.20      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.80
23:09:00          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
23:09:00          1      0.00      0.00      0.00      0.00      0.00      0.00      0.98      0.00      0.00     99.02
23:09:00          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
23:09:00          3      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
23:09:00          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:        all      0.20      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.80
Average:          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00      0.00      0.98      0.00      0.00     99.02
Average:          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
Average:          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00

23:08:58       proc/s   cswch/s
23:09:00         0.00    301.98
Average:         0.00    301.98

23:08:58         INTR    intr/s
23:09:00          sum    239.60
23:09:00            0      0.00
23:09:00            1      0.00
23:09:00            2     76.24
23:09:00            3      0.00
23:09:00            4      0.00
23:09:00            5      0.00
23:09:00            6      0.00
23:09:00            7      0.00
23:09:00            8      0.00
23:09:00            9      0.00
23:09:00           10      0.00
23:09:00           11     94.06
23:09:00           12      0.00
23:09:00           13      4.95
23:09:00           14      0.00
23:09:00           15      0.00
23:09:00           16      0.00
23:09:00           17      0.99
23:09:00           18     62.38
23:09:00           19      0.00
23:09:00           20      0.99
23:09:00           21      0.00
23:09:00           22      0.00
23:09:00           23      0.00
23:09:00           24      0.00
23:09:00           25      0.00
23:09:00           26      0.00
23:09:00           27      0.00
23:09:00           28      0.00
23:09:00           29      0.00
23:09:00           30      0.00
23:09:00           31      0.00
23:09:00           32      0.00
23:09:00           33      0.00
23:09:00           34      0.00
23:09:00           35      0.00
23:09:00           36      0.00
23:09:00           37      0.00
23:09:00           38      0.00
23:09:00           39      0.00
23:09:00           40      0.00
23:09:00           41      0.00
23:09:00           42      0.00
23:09:00           43      0.00
23:09:00           44      0.00
23:09:00           45      0.00
23:09:00           46      0.00
23:09:00           47      0.00
23:09:00           48      0.00
23:09:00           49      0.00
23:09:00           50      0.00
