Linux 6.18.35 (resarch-fixture) 	09/23/26 	_x86_64_	(5 CPU)

23:09:08        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
23:09:09        all      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
23:09:09          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
23:09:09          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
23:09:09          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
23:09:09          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
23:09:09          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:        all      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00

23:09:08       proc/s   cswch/s
23:09:09         0.00    302.00
Average:         0.00    302.00

23:09:08         INTR    intr/s
23:09:09          sum    210.00
23:09:09            0      0.00
23:09:09            1      0.00
23:09:09            2     75.00
23:09:09            3      0.00
23:09:09            4      0.00
23:09:09            5      0.00
23:09:09            6      0.00
23:09:09            7      0.00
23:09:09            8      0.00
23:09:09            9      0.00
23:09:09           10      0.00
23:09:09           11     58.00
23:09:09           12      0.00
23:09:09           13      9.00
23:09:09           14      0.00
23:09:09           15      0.00
23:09:09           16      0.00
23:09:09           17      1.00
23:09:09           18     66.00
23:09:09           19      0.00
23:09:09           20      1.00
23:09:09           21      0.00
23:09:09           22      0.00
23:09:09           23      0.00
23:09:09           24      0.00
23:09:09           25      0.00
23:09:09           26      0.00
23:09:09           27      0.00
23:09:09           28      0.00
23:09:09           29      0.00
23:09:09           30      0.00
23:09:09           31      0.00
23:09:09           32      0.00
23:09:09           33      0.00
23:09:09           34      0.00
23:09:09           35      0.00
23:09:09           36      0.00
23:09:09           37      0.00
23:09:09           38      0.00
23:09:09           39      0.00
23:09:09           40      0.00
23:09:09           41      0.00
23:09:09           42      0.00
23:09:09           43      0.00
23:09:09           44      0.00
23:09:09           45      0.00
23:09:09           46      0.00
23:09:09           47      0.00
23:09:09           48      0.00
23:09:09           49      0.00
23:09:09           50      0.00
23:09:09           51      0.00
23:09:09           52      0.00
23:09:09           53      0.00
23:09:09           54      0.00
23:09:09           55      0.00
23:09:09           56      0.00
23:09:09           57      0.00
23:09:09           58      0.00
23:09:09           59      0.00
23:09:09           60      0.00
23:09:09           61      0.00
23:09:09           62      0.00
23:09:09           63      0.00
Average:          sum    210.00
Average:            0      0.00
Average:            1      0.00
Average:            2     75.00
Average:            3      0.00
Average:            4      0.00
Average:            5      0.00
Average:            6      0.00
Average:            7      0.00
Average:            8      0.00
Average:            9      0.00
Average:           10      0.00
Average:           11     58.00
Average:           12      0.00
Average:           13      9.00
Average:           14      0.00
Average:           15      0.00
Average:           16      0.00
Average:           17      1.00
Average:           18     66.00
Average:           19      0.00
Average:           20      1.00
Average:           21      0.00
Average:           22      0.00
Average:           23      0.00
Average:           24      0.00
Average:           25      0.00
Average:           26      0.00
Average:           27      0.00
Average:           28      0.00
Average:           29      0.00
Average:           30      0.00
Average:           31      0.00
Average:           32      0.00
Average:           33      0.00
Average:           34      0.00
Average:           35      0.00
Average:           36      0.00
Average:           37      0.00
Average:           38      0.00
Average:           39      0.00
Average:           40      0.00
Average:           41      0.00
Average:           42      0.00
Average:           43      0.00
Average:           44      0.00
Average:           45      0.00
Average:           46      0.00
Average:           47      0.00
Average:           48      0.00
Average:           49      0.00
Average:           50      0.00
Average:           51      0.00
Average:           52      0.00
Average:           53      0.00
Average:           54      0.00
Average:           55      0.00
Average:           56      0.00
Average:           57      0.00
Average:           58      0.00
Average:           59      0.00
Average:           60      0.00
Average:           61      0.00
Average:           62      0.00
Average:           63      0.00

23:09:08     pswpin/s pswpout/s
23:09:09         0.00      0.00
Average:         0.00      0.00

23:09:08     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
23:09:09         0.00      0.00    103.00      1.00     86.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00    103.00      1.00     86.00      0.00      0.00      0.00      0.00

23:09:08          tps      rtps      wtps   bread/s   bwrtn/s
23:09:09         0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00

23:09:08      frmpg/s   bufpg/s   campg/s
23:09:09         0.00      0.00     22.00
Average:         0.00      0.00     22.00

23:09:08    kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:09:09       791700    336016     29.80     19564    195872    364432     32.32     49948    171952      3288
Average:       791700    336016     29.80     19564    195872    364432     32.32     49948    171952      3288

23:09:08    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
23:09:09            0         0      0.00         0      0.00
Average:            0         0      0.00         0      0.00

23:09:08    kbhugfree kbhugused  %hugused
23:09:09            0         0      0.00
Average:            0         0      0.00

23:09:08    dentunusd   file-nr  inode-nr    pty-nr
23:09:09          809        43      1369         0
Average:          809        43      1369         0

23:09:08      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
23:09:09            0        99      0.00      0.00      0.00         0
Average:            0        99      0.00      0.00      0.00         0

23:09:08          DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
23:09:09     dev254-0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:09:09    dev254-16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
