Linux 6.18.35 (resarch-fixture) 	09/23/26 	_x86_64_	(5 CPU)

23:09:18        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
23:09:19        all      0.20      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.80
23:09:19          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
23:09:19          1      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
23:09:19          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
23:09:19          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
23:09:19          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:        all      0.20      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.80
Average:          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.00
Average:          2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00

23:09:18       proc/s   cswch/s
23:09:19         0.00    377.00
Average:         0.00    377.00

23:09:18         INTR    intr/s
23:09:19          sum    238.00
23:09:19            0      0.00
23:09:19            1      0.00
23:09:19            2     92.00
23:09:19            3      0.00
23:09:19            4      0.00
23:09:19            5      0.00
23:09:19            6      0.00
23:09:19            7      0.00
23:09:19            8      0.00
23:09:19            9      0.00
23:09:19           10      0.00
23:09:19           11     57.00
23:09:19           12      0.00
23:09:19           13      4.00
23:09:19           14      0.00
23:09:19           15      0.00
23:09:19           16      0.00
23:09:19           17      1.00
23:09:19           18     83.00
23:09:19           19      0.00
23:09:19           20      1.00
23:09:19           21      0.00
23:09:19           22      0.00
23:09:19           23      0.00
23:09:19           24      0.00
23:09:19           25      0.00
23:09:19           26      0.00
23:09:19           27      0.00
23:09:19           28      0.00
23:09:19           29      0.00
23:09:19           30      0.00
23:09:19           31      0.00
23:09:19           32      0.00
23:09:19           33      0.00
23:09:19           34      0.00
23:09:19           35      0.00
23:09:19           36      0.00
23:09:19           37      0.00
23:09:19           38      0.00
23:09:19           39      0.00
23:09:19           40      0.00
23:09:19           41      0.00
23:09:19           42      0.00
23:09:19           43      0.00
23:09:19           44      0.00
23:09:19           45      0.00
23:09:19           46      0.00
23:09:19           47      0.00
23:09:19           48      0.00
23:09:19           49      0.00
23:09:19           50      0.00
23:09:19           51      0.00
23:09:19           52      0.00
23:09:19           53      0.00
23:09:19           54      0.00
23:09:19           55      0.00
23:09:19           56      0.00
23:09:19           57      0.00
23:09:19           58      0.00
23:09:19           59      0.00
23:09:19           60      0.00
23:09:19           61      0.00
23:09:19           62      0.00
23:09:19           63      0.00
Average:          sum    238.00
Average:            0      0.00
Average:            1      0.00
Average:            2     92.00
Average:            3      0.00
Average:            4      0.00
Average:            5      0.00
Average:            6      0.00
Average:            7      0.00
Average:            8      0.00
Average:            9      0.00
Average:           10      0.00
Average:           11     57.00
Average:           12      0.00
Average:           13      4.00
Average:           14      0.00
Average:           15      0.00
Average:           16      0.00
Average:           17      1.00
Average:           18     83.00
Average:           19      0.00
Average:           20      1.00
Average:           21      0.00
Average:           22      0.00
Average:           23      0.00
Average:           24      0.00
Average:           25      0.00
Average:           26      0.00
Average:           27      0.00
Average:           28      0.00
Average:           29      0.00
Average:           30      0.00
Average:           31      0.00
Average:           32      0.00
Average:           33      0.00
Average:           34      0.00
Average:           35      0.00
Average:           36      0.00
Average:           37      0.00
Average:           38      0.00
Average:           39      0.00
Average:           40      0.00
Average:           41      0.00
Average:           42      0.00
Average:           43      0.00
Average:           44      0.00
Average:           45      0.00
Average:           46      0.00
Average:           47      0.00
Average:           48      0.00
Average:           49      0.00
Average:           50      0.00
Average:           51      0.00
Average:           52      0.00
Average:           53      0.00
Average:           54      0.00
Average:           55      0.00
Average:           56      0.00
Average:           57      0.00
Average:           58      0.00
Average:           59      0.00
Average:           60      0.00
Average:           61      0.00
Average:           62      0.00
Average:           63      0.00

23:09:18     pswpin/s pswpout/s
23:09:19         0.00      0.00
Average:         0.00      0.00

23:09:18     pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
23:09:19         0.00      0.00     80.00      1.00      7.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00     80.00      1.00      7.00      0.00      0.00      0.00      0.00

23:09:18          tps      rtps      wtps   bread/s   bwrtn/s
23:09:19         0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00

23:09:18    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
23:09:19       786892   1004196    340824     30.22     19056    205520    364592     32.33     44936    186684      3588      7104     25228      1664       504      4120
Average:       786892   1004196    340824     30.22     19056    205520    364592     32.33     44936    186684      3588      7104     25228      1664       504      4120

23:09:18    kbswpfree kbswpused  %swpused  kbswpcad   %swpcad
23:09:19            0         0      0.00         0      0.00
Average:            0         0      0.00         0      0.00

23:09:18    kbhugfree kbhugused  %hugused
23:09:19            0         0      0.00
Average:            0         0      0.00

23:09:18    dentunusd   file-nr  inode-nr    pty-nr
23:09:19          921        43      1427         0
Average:          921        43      1427         0

23:09:18      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
23:09:19            0       100      0.00      0.00      0.00         0
Average:            0       100      0.00      0.00      0.00         0

23:09:18          DEV       tps     rkB/s     wkB/s   areq-sz    aqu-sz     await     svctm     %util
23:09:19     dev254-0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:09:19    dev254-16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:     dev254-0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:    dev254-16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

23:09:18        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
23:09:19           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:09:19         eth0      6.00      2.00      1.52      0.16      0.00      0.00      0.00      0.00
Average:           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         eth0      6.00      2.00      1.52      0.16      0.00      0.00      0.00      0.00

23:09:18        IFACE   rxerr/s   txerr/s    coll/s  rxdrop/s  txdrop/s  txcarr/s  rxfram/s  rxfifo/s  txfifo/s
23:09:19           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:09:19         eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:           lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         eth0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

23:09:18       call/s retrans/s    read/s   write/s  access/s  getatt/s
23:09:19         0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00

23:09:18      scall/s badcall/s  packet/s     udp/s     tcp/s     hit/s    miss/s   sread/s  swrite/s saccess/s sgetatt/s
23:09:19         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

23:09:18       totsck    tcpsck    udpsck    rawsck   ip-frag    tcp-tw
23:09:19            5         0         0         0         0         0
Average:            5         0         0         0         0         0

23:09:18       irec/s  fwddgm/s    idel/s     orq/s   asmrq/s   asmok/s  fragok/s fragcrt/s
23:09:19         3.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         3.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

23:09:18    ihdrerr/s iadrerr/s iukwnpr/s   idisc/s   odisc/s   onort/s    asmf/s   fragf/s
23:09:19         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

23:09:18       imsg/s    omsg/s    iech/s   iechr/s    oech/s   oechr/s     itm/s    itmr/s     otm/s    otmr/s  iadrmk/s iadrmkr/s  oadrmk/s oadrmkr/s
23:09:19         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

23:09:18       ierr/s    oerr/s idstunr/s odstunr/s   itmex/s   otmex/s iparmpb/s oparmpb/s   isrcq/s   osrcq/s  iredir/s  oredir/s
23:09:19         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

23:09:18     active/s passive/s    iseg/s    oseg/s
23:09:19         0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00

23:09:18     atmptf/s  estres/s retrans/s isegerr/s   orsts/s
23:09:19         0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00

23:09:18       idgm/s    odgm/s  noport/s idgmerr/s
23:09:19         0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00

23:09:18      tcp6sck   udp6sck   raw6sck  ip6-frag
23:09:19            0         0         0         0
Average:            0         0         0         0

23:09:18      irec6/s fwddgm6/s   idel6/s    orq6/s  asmrq6/s  asmok6/s imcpck6/s omcpck6/s fragok6/s fragcr6/s
23:09:19         3.00      0.00      0.00      2.00      0.00      0.00      3.00      2.00      0.00      0.00
Average:         3.00      0.00      0.00      2.00      0.00      0.00      3.00      2.00      0.00      0.00

23:09:18    ihdrer6/s iadrer6/s iukwnp6/s  i2big6/s  idisc6/s  odisc6/s  inort6/s  onort6/s   asmf6/s  fragf6/s itrpck6/s
23:09:19         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

23:09:18      imsg6/s   omsg6/s   iech6/s  iechr6/s  oechr6/s  igmbq6/s  igmbr6/s  ogmbr6/s igmbrd6/s ogmbrd6/s irtsol6/s ortsol6/s  irtad6/s inbsol6/s onbsol6/s  inbad6/s  onbad6/s
23:09:19         0.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      2.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00

23:09:18      ierr6/s idtunr6/s odtunr6/s  itmex6/s  otmex6/s iprmpb6/s oprmpb6/s iredir6/s oredir6/s ipck2b6/s opck2b6/s
23:09:19         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00

23:09:18      idgm6/s   odgm6/s noport6/s idgmer6/s
23:09:19         0.00      0.00      0.00      0.00
Average:         0.00      0.00      0.00      0.00

23:09:18        CPU   total/s   dropd/s squeezd/s  rx_rps/s flw_lim/s
23:09:19        all      6.00      0.00      0.00      0.00      0.00
23:09:19          0      6.00      0.00      0.00      0.00      0.00
Average:        all      6.00      0.00      0.00      0.00      0.00
Average:          0      6.00      0.00      0.00      0.00      0.00

23:09:18        CPU       MHz
23:09:19        all   2502.05
23:09:19          0   2502.05
23:09:19          1   2502.05
23:09:19          2   2502.05
23:09:19          3   2502.05
23:09:19          4   2502.05
Average:        all   2502.05
Average:          0   2502.05
Average:          1   2502.05
Average:          2   2502.05
Average:          3   2502.05
Average:          4   2502.05

23:09:18     MBfsfree  MBfsused   %fsused  %ufsused     Ifree     Iused    %Iused FILESYSTEM
23:09:19       515801       247      0.05      0.05  33609467     10501      0.03 /dev/vdb
Summary:       515801       247      0.05      0.05  33609467     10501      0.03 /dev/vdb
