Linux 6.18.35 (resarch-fixture) 	09/23/26 	_aarch64_	(5 CPU)

22:28:15        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
22:28:16        all      0.00      0.00      0.20      0.00      0.00      0.00      0.00      0.00      0.00     99.80
22:28:16          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
22:28:16          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
22:28:16          2      0.00      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     99.01
22:28:16          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
22:28:16          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:        all      0.00      0.00      0.20      0.00      0.00      0.00      0.00      0.00      0.00     99.80
Average:          0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          2      0.00      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.00     99.01
Average:          3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00
Average:          4      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00

22:28:15       proc/s   cswch/s
22:28:16         0.00    383.00
Average:         0.00    383.00

22:28:15         INTR    intr/s
22:28:16          sum    259.00
22:28:16            0      0.00
22:28:16            1      0.00
22:28:16            2     87.00
22:28:16            3      0.00
22:28:16            4      0.00
22:28:16            5      0.00
22:28:16            6      0.00
22:28:16            7      0.00
22:28:16            8      0.00
22:28:16            9      0.00
22:28:16           10      0.00
22:28:16           11     89.00
22:28:16           12      0.00
22:28:16           13      0.00
22:28:16           14      0.00
22:28:16           15      0.00
22:28:16           16      0.00
22:28:16           17     83.00
22:28:16           18      0.00
22:28:16           19      0.00
22:28:16           20      0.00
22:28:16           21      0.00
22:28:16           22      0.00
22:28:16           23      0.00
22:28:16           24      0.00
22:28:16           25      0.00
22:28:16           26      0.00
22:28:16           27      0.00
22:28:16           28      0.00
22:28:16           29      0.00
22:28:16           30      0.00
22:28:16           31      0.00
22:28:16           32      0.00
22:28:16           33      0.00
22:28:16           34      0.00
22:28:16           35      0.00
22:28:16           36      0.00
22:28:16           37      0.00
22:28:16           38      0.00
22:28:16           39      0.00
22:28:16           40      0.00
22:28:16           41      0.00
22:28:16           42      0.00
22:28:16           43      0.00
22:28:16           44      0.00
22:28:16           45      0.00
22:28:16           46      0.00
22:28:16           47      0.00
22:28:16           48      0.00
22:28:16           49      0.00
22:28:16           50      0.00
22:28:16           51      0.00
22:28:16           52      0.00
22:28:16           53      0.00
22:28:16           54      0.00
22:28:16           55      0.00
22:28:16           56      0.00
22:28:16           57      0.00
22:28:16           58      0.00
22:28:16           59      0.00
22:28:16           60      0.00
22:28:16           61      0.00
22:28:16           62      0.00
22:28:16           63      0.00
Average:          sum    259.00
Average:            0      0.00
Average:            1      0.00
Average:            2     87.00
Average:            3      0.00
Average:            4      0.00
Average:            5      0.00
Average:            6      0.00
Average:            7      0.00
Average:            8      0.00
Average:            9      0.00
Average:           10      0.00
Average:           11     89.00
Average:           12      0.00
Average:           13      0.00
Average:           14      0.00
Average:           15      0.00
Average:           16      0.00
Average:           17     83.00
Average:           18      0.00
Average:           19      0.00
Average:           20      0.00
Average:           21      0.00
Average:           22      0.00
Average:           23      0.00
Average:           24      0.00
Average:           25      0.00
Average:           26      0.00
Average:           27      0.00
Average:           28      0.00
Average:           29      0.00
Average:           30      0.00
Average:           31      0.00
Average:           32      0.00
Average:           33      0.00
Average:           34      0.00
Average:           35      0.00
Average:           36      0.00
Average:           37      0.00
Average:           38      0.00
Average:           39      0.00
Average:           40      0.00
Average:           41      0.00
Average:           42      0.00
Average:           43      0.00
Average:           44      0.00
Average:           45      0.00
Average:           46      0.00
Average:           47      0.00
Average:           48      0.00
Average:           49      0.00
Average:           50      0.00
Average:           51      0.00
Average:           52      0.00
Average:           53      0.00
Average:           54      0.00
Average:           55      0.00
Average:           56      0.00
Average:           57      0.00
Average:           58      0.00
Average:           59      0.00
Average:           60      0.00
Average:           61      0.00
Average:           62      0.00
Average:           63      0.00

22:28:15     pswpin/s pswpout/s
22:28:16         0.00      0.00
Average:         0.00      0.00

