# case	image_tag	registry_image_digest	sysstat_url	sysstat_sha256	dependency_url	dependency_sha256
centos-3.9	docker.io/library/centos:5.11	sha256:c40041f5894293d0df8f5c6c2049b92a82c53f1718ecdd73cbf3c1826a08ba4a	https://vault.centos.org/3.9/os/x86_64/RedHat/RPMS/sysstat-5.0.5-11.rhel3.x86_64.rpm	800d3eedd343345f270fc71e0691d952c5bc5ab8930ef6f8f6029e4631c1b5b9	-	-
centos-4.9	docker.io/library/centos:5.11	sha256:c40041f5894293d0df8f5c6c2049b92a82c53f1718ecdd73cbf3c1826a08ba4a	https://vault.centos.org/4.9/updates/x86_64/RPMS/sysstat-5.0.5-27.el4.x86_64.rpm	7015f4147f477a7670d6e399a9065a749dc53d8bdc5a704690a844febde03cb7	-	-
centos-5.11	docker.io/library/centos:5.11	sha256:c40041f5894293d0df8f5c6c2049b92a82c53f1718ecdd73cbf3c1826a08ba4a	https://vault.centos.org/5.11/os/x86_64/CentOS/sysstat-7.0.2-13.el5.x86_64.rpm	c63d09ce428bb73f1730452465b20cda7964f734b28c07111b9b406c989fa11a	-	-
centos-6.0	docker.io/library/centos:6.6	sha256:32b80b90ba17ed16e9fa3430a49f53ff6de0d4c76ad8631717a1373d5921fa26	https://vault.centos.org/6.0/os/x86_64/Packages/sysstat-9.0.4-11.el6.x86_64.rpm	677cd2c8d2a784058cf9ff15282647865ef7959f550b6193a96327dac159558a	-	-
centos-6.5	docker.io/library/centos:6.6	sha256:32b80b90ba17ed16e9fa3430a49f53ff6de0d4c76ad8631717a1373d5921fa26	https://vault.centos.org/6.5/os/x86_64/Packages/sysstat-9.0.4-22.el6.x86_64.rpm	63a2653e41fb7759c6e04a454229332482ec5a9a692e27ce8e9a805dd75d1287	-	-
centos-6.10	docker.io/library/centos:6.10	sha256:abc8bec96842a07c03274d3f1549bd37ec5dbfb0e36dcdfc31d70b1ad3281431	https://vault.centos.org/6.10/os/x86_64/Packages/sysstat-9.0.4-33.el6_9.1.x86_64.rpm	65fa114e7d947143580f98a5feeb652ceb7ebdd8b27fba65ba0b383b250c63d3	-	-
centos-7.0	docker.io/library/centos:7.0.1406	sha256:182394d34a0d73e987ffacf6d0e0caa3a0fe7bc1738798872b41e6245e0ee99d	https://vault.centos.org/7.0.1406/os/x86_64/Packages/sysstat-10.1.5-4.el7.x86_64.rpm	92d5c38e22efaac55c95475321b2a1859cd9ae5f6bf407c851da4e9b9d265123	https://vault.centos.org/7.0.1406/os/x86_64/Packages/lm_sensors-libs-3.3.4-10.el7.x86_64.rpm	7963f591d6499fe7c8909e0112977f0be65978ed6792c69b3eda8966de8aa935
centos-7.5	docker.io/library/centos:7.5.1804	sha256:7a45e4a1efbaafc1d9aa89925b6fdb33288a96d35ea0581412316e2f0ad3720a	https://vault.centos.org/7.5.1804/os/x86_64/Packages/sysstat-10.1.5-13.el7.x86_64.rpm	2e2288720be44e7316bfe1c70b9b2144c4c22e3704e6ccce469ab5c526c5de87	https://vault.centos.org/7.5.1804/os/x86_64/Packages/lm_sensors-libs-3.4.0-4.20160601gitf9185e5.el7.x86_64.rpm	5d4a5919b51c03625322d31848000d60f584b1aa4ff3bc26fe25985cbc6bcd16
centos-7.9	docker.io/library/centos:7.9.2009	sha256:be65f488b7764ad3638f236b7b515b3678369a5124c47b8d32916d6487418ea4	https://vault.centos.org/7.9.2009/updates/x86_64/Packages/sysstat-10.1.5-20.el7_9.x86_64.rpm	2c799ceaa86c1f7b721be3e99bb1bb146d316ec6fb045e1a75d03e2bd335a85e	https://vault.centos.org/7.9.2009/os/x86_64/Packages/lm_sensors-libs-3.4.0-8.20160601gitf9185e5.el7.x86_64.rpm	0bf3262604f200462a43269d3a5f02d89a34b02c7d383c905efd1027eff9eb96
centos-8.0	docker.io/library/centos:8	sha256:a27fd8080b517143cbbbab9dfb7c8571c40d67d534bbdee55bd6c473f432b177	https://vault.centos.org/8.0.1905/AppStream/x86_64/os/Packages/sysstat-11.7.3-2.el8.x86_64.rpm	aaf50007fd90d506bd142d6c1eeb2bd78c74c19c3aec6088b5ef85d5766a360e	https://vault.centos.org/8.0.1905/BaseOS/x86_64/os/Packages/lm_sensors-libs-3.4.0-17.20180522git70f7e08.el8.x86_64.rpm	1005ec566683da63ca502cb4d11097f771620ae2371fd85de47db86ebb411f25
centos-8.5	docker.io/library/centos:8	sha256:a27fd8080b517143cbbbab9dfb7c8571c40d67d534bbdee55bd6c473f432b177	https://vault.centos.org/8.5.2111/AppStream/x86_64/os/Packages/sysstat-11.7.3-6.el8.x86_64.rpm	43cb3f0482fcd5c7f14868ebfd749d032ee439da627b5ee5fbcefbdf07cc7d31	https://vault.centos.org/8.5.2111/BaseOS/x86_64/os/Packages/lm_sensors-libs-3.4.0-23.20180522git70f7e08.el8.x86_64.rpm	b99eb2fc28f0791d7d5860e4707067013af63e0db6af883c6623438832d0e601
