# case	version	url	sha256	git_commit	srpm_member	member_sha256
upstream-2.2	2.2	https://archive.org/download/suse64/SU6400.006.iso/suse%2Fzq2%2Fsysstat.spm	dcce05c498cd5ab0d9b314eb4433b1875227a9f34a82d6e4360784501b502785	-	sysstat-2.2.tar.gz	a481b2a24f705d894fa75681edb378b2fdb3426215571f91a4f964a7431f9171
upstream-3.2.4	3.2.4	https://ftp.kh.edu.tw/Linux/Redhat/en_7.0/SRPMS/sysstat-3.2.4-3.src.rpm	527c28692ad5897b5766c9dfbfb5dcec8e4b00bf80c456a9969e7cc7b11efacd	-	sysstat-3.2.4.tar.gz	c8c4857b8cd909e139ddb194780274355a5c32dc710f5432f3e3b56b335d94eb
upstream-3.3.2	3.3.2	https://archive.org/download/SuSE_Linux_7.1/SU7100.006.ISO/suse%2Fzq2%2Fsysstat.spm	63f1317004e738370ee0a69e2942f24b9af27af9e19e160aeee08140c470a5bc	-	sysstat-3.3.2.tar.bz2	17ef96f0848d91ca6068fab82ea859792cbd6a6d5660350d077d9c11dee000ac
upstream-3.3.5	3.3.5	https://ftp.icm.edu.pl/pub/Linux/distributions/redhat/linux/7.1/en/os/i386/SRPMS/sysstat-3.3.5-3.src.rpm	04ec7d86f54cbbef6c28e6f66a9db818e2da5ac4185300fea5d404c46866de75	-	sysstat-3.3.5.tar.gz	cb0cfa79ca127042cc5856bb403ccf9c40d7deb41ae802249825b502a81465e0
upstream-4.0.4	4.0.4	https://snapshot.debian.org/file/3c8b57c19909728e902c4438e2f768344084dc60	c74c47ab5c5ff384fd71007070ebdf8e69fb91e7c24cb63dd8f2e0b59ed3c966	-	-	-
upstream-4.1.1	4.1.1	https://web.archive.org/web/20040208074118id_/http://perso.wanadoo.fr:80/sebastien.godard/sysstat-4.1.1.tar.bz2	69117e08113e9e307572e6fec80dd94e7218ddb717ed4f9568935ffd91735b32	-	-	-
upstream-4.1.3	4.1.3	https://distfiles.pld-linux.org/distfiles/by-md5/c/e/ce24f45bc5bc8af94ed3c28636ebf4a3/sysstat-4.1.3.tar.bz2	03f98b53d7140124e57290ed52f7977ec1e2c37d5590558651f545762853b4ba	-	-	-
upstream-4.1.4	4.1.4	https://web.archive.org/web/20040208074125id_/http://perso.wanadoo.fr:80/sebastien.godard/sysstat-4.1.4.tar.bz2	c12f85f7c2674a7e606e24d4ddb8b45cf411daf8895a96249e9e815edb74eca8	-	-	-
upstream-4.1.5	4.1.5	https://distfiles.pld-linux.org/distfiles/by-md5/b/5/b5d2a8eff21a991b3fe6192f4d941924/sysstat-4.1.5.tar.bz2	1329b7490a6234d920d49c6688765c06b33031b93521a3a8772bd3cea4269e65	-	-	-
upstream-4.1.6	4.1.6	https://distfiles.pld-linux.org/distfiles/by-md5/8/f/8ffdb7abc6049f43c4f7b6a4fe06fe27/sysstat-4.1.6.tar.bz2	e56502e9f15ff7e1ee311b3b4f14e99613629dab081bf7734b890e7d7122a5bc	-	-	-
upstream-5.0.5	5.0.5	https://vault.centos.org/3.9/os/SRPMS/sysstat-5.0.5-11.rhel3.src.rpm	226e0f2aa5607b0df9a9b04819f4282318c4b51a216edab3e2606185c94f9daa	-	sysstat-5.0.5.tar.bz2	2f062cfa87723e12e17ea2b0e5cd73645fd78093badbcd1f43a05b431c933302
upstream-5.0.6	5.0.6	https://snapshot.debian.org/file/aacaadf078af8a57a48e01b9a8bc030c28f59ef6	63aa517f1ea42b3c2c18bc7b549aa89c8283c8cc1c18d05506d3188aed3965ed	-	-	-
upstream-5.1.2	5.1.2	https://distfiles.pld-linux.org/distfiles/by-md5/9/0/9043be730f534f0f8a07f1252f663022/sysstat-5.1.2.tar.bz2	1b8e8f3bbc46753a72bb71215f5e658111b26e2e50b161adf331f587fdf16900	-	-	-
upstream-5.1.3	5.1.3	https://snapshot.debian.org/file/4168e1bccf61b25d11d4c7a3cfd8f78392601850	3b319a49c8264fab6987fe01a2d7c4dce256bed865d9e1911489bac51bd76682	-	-	-
upstream-5.1.4	5.1.4	https://snapshot.debian.org/file/30a44371a50bba70c18621c47edf9a38bb8b6fc6	ae17830947b44293d35d2a322582d03b788d29fecbad0b0421a534e30ac6d608	-	-	-
upstream-5.1.5	5.1.5	https://snapshot.debian.org/file/44691918b30498fc5033e198a692ea4f5621704a	418435c5ad1488260747135ca809dfd77486741af92085cf5c5fa193e5a3f2f6	-	-	-
upstream-6.0.0	6.0.0	https://snapshot.debian.org/file/8d68ed2b2517c5c47a98e59371dbaf1149f85e31	e97551867341780670da6752c4e486489aeaa0fb237a8a20147046bf9fded2f9	-	-	-
upstream-6.0.1	6.0.1	https://snapshot.debian.org/file/fb0b273300afc6e3696599a983ae2ff50e003132	f1b629074dc03bad81537336a14334fca5fd37ec70e704db157d088c1617ba22	-	-	-
upstream-6.0.2	6.0.2	https://snapshot.debian.org/file/8faa93187b3b58d7d9f45d66daeee9f1b46bf9be	9194f26ca15f62275039199ec4d819f8447f90bac286a6396d4d526a51815129	-	-	-
upstream-6.1.1	6.1.1	https://snapshot.debian.org/file/9b61a1a93d2ea0c7a1386fad93ee3e5add26150e	c413b7de6cbabd47b2d99c3814c2695fae1851ab838a6153127d21c47fdcaac3	-	-	-
upstream-6.1.2	6.1.2	https://snapshot.debian.org/file/125b0321a99a5a076bcfc72a691e1f86712da16c	b7d26bda4653a2025280236f7f39958f9dba833caec1c3a6f64ba33235cb429c	-	-	-
upstream-6.1.3	6.1.3	https://snapshot.debian.org/file/117849a42d3887a58426969ed7277f80071602ee	d2500bfd001df4a365ba66862e84b2ee53bbab0ca9590e83351003485f778506	-	-	-
upstream-7.0.0	7.0.0	https://snapshot.debian.org/file/48af90327d2c7908cf660b5b406d10000272c987	bfe63f51288012613ead3f1efdb57d82f1e3fedecf9e583ea7d3b9d2ae2252ff	-	-	-
upstream-7.0.2	7.0.2	https://vault.centos.org/5.11/os/SRPMS/sysstat-7.0.2-13.el5.src.rpm	f95b5c6b9b7e710c0285266b3b1df93c9463e6fbc50692bc7d9d37059b39e0cb	-	sysstat-7.0.2.tar.bz2	031b56a53dacc06341db9983ed8398a1c7865410289f23bd8a747f693def4f17
upstream-7.0.3	7.0.3	https://snapshot.debian.org/file/112422107eb4dcc6588e5e13ef8770204d420957	38c3dac002c31feac13fa19121b92b0e9893c4f5a9ce83cc819f3d0d8ed2a0c0	-	-	-
upstream-7.0.4	7.0.4	https://snapshot.debian.org/file/9609a4e9320f1963beddf23fdeb293a29d48d743	b42e0d5fac381c24d0484708b0f992b39e267b4fcde2889b7c0c5f991bad604f	-	-	-
upstream-7.1.2	7.1.2	https://snapshot.debian.org/file/6952ff9512e8f1af4e1f4dbdfd9829603ce5e1fc	9900c4465df9708946bdb0628fcecc85ab6da31d181119ed48366e8e05259da5	-	-	-
upstream-7.1.3	7.1.3	https://snapshot.debian.org/file/92f369c905c83c9e130d783cc249dd477ce9fc53	0874d29f2125c3448c09241ba826b23971ff1047c37305583c22424b8ecb3d57	-	-	-
upstream-7.1.4	7.1.4	https://snapshot.debian.org/file/47cdfbea01aba5c26f8e5c8849c7b4aa670b9b2e	38fd6a406c1884a8c02d5e4cd9cfd1c8e031e3107007a234ee0a14dd2059a1aa	-	-	-
upstream-7.1.5	7.1.5	https://snapshot.debian.org/file/d806301e9960577634a747fd0824a980f5cb66c3	d94c43124e549816de2506ee3197770bdcd37496ff40f88dbd09bd2c138641f2	-	-	-
upstream-7.1.6	7.1.6	https://snapshot.debian.org/file/01b52fa7c026ef449bbb769460c7799aa04b61f5	5799e36243d34caf14dcc61c6aaec4e41b90c50fd3953be519d6daeee8b54ff6	-	-	-
upstream-8.0.0	8.0.0	https://snapshot.debian.org/file/01e3b9daa0a9d5a0c6c3c6c5d0ad9e2436e43c55	6913d45f529ccfaaff34292913ff50184e21772dd9b10e59b05728ac82a5968b	-	-	-
upstream-8.0.1	8.0.1	https://snapshot.debian.org/file/b0c9815b6f80e990760543122fd8cd0901785574	117a4386ce9d3629d8a532abb2b014b64c80ce33525929cd72a7a4bc1b86be18	-	-	-
upstream-8.0.2	8.0.2	https://snapshot.debian.org/file/e5a876fadbc08958b0842c2c8aea23a9cb0a9184	2f1cbe8c433bde715e3d28b173c491370eb9d0b3185c6c403e944c7a6ef0dd5d	-	-	-
upstream-8.0.3	8.0.3	https://snapshot.debian.org/file/fd2ac15ce5a61e4d744e88ef449c9b928bd07df4	9470d1ec3d958cacb08657d3eb8c0c6c7b22b92fbfcface822afa282510aab4d	-	-	-
upstream-8.0.4	8.0.4	https://snapshot.debian.org/file/95c71f51685cac8a6e8c847498daddf65a10cd1e	223158b841aa7d5b6aaf36d6f4ac9ec23c4b3db17192756bb9a694582362102a	-	-	-
upstream-8.1.1	8.1.1	https://snapshot.debian.org/file/02d878fd0d74b3075e97d53bdb9e8a19ad884654	1f2b5dc890f4f63fe2dc09eef0ef545da72b5e8405844e7ea00d67b29149b7bc	-	-	-
upstream-8.1.2	8.1.2	https://snapshot.debian.org/file/de1633da0a074abbe5b14379b81888efcd8c258a	86ecb0253550c20244fb5554fe9ee32a32cad8b13ba0237e350861e20b0c054d	-	-	-
upstream-8.1.6	8.1.6	https://snapshot.debian.org/file/73ebe171822d1ea26320c6302d1c212bd5c46192	0a63da1c99b6a9b6a93b6fd0a9391c7d8216f658d2bea0ba81999e261c6b6649	-	-	-
upstream-8.1.7	8.1.7	https://snapshot.debian.org/file/a66c7ea6697e00a96d86d3de431a781a4b5f8a95	4fc925050ff6723d10e8e6a5dc5e2cf0dac7b1f02c91c64ee9a845f0fbf33b47	-	-	-
upstream-8.1.8	8.1.8	https://snapshot.debian.org/file/99144ae885c1ded7cc6ec34e2128fd1090ffe5c4	ad06c741f64d75117fa92ce74555afdd08b732f0af2bad72e323e49abcb52918	-	-	-
upstream-9.0.0	9.0.0	https://snapshot.debian.org/file/7574ec44e6670e6be5e0c16850ab83e7363769b3	b294ce5c3544904e2607a263ca903393eda6d4c891ea1e60a29dc42848a5064b	-	-	-
upstream-9.0.1	9.0.1	https://snapshot.debian.org/file/a63715e35b6b2ef6974a68d7adbf9d3028d0cac5	f952eb8e3e794e79fcb69aff24e1e1cd408756346bbe765501b70e51f7f75498	-	-	-
upstream-9.0.3	9.0.3	https://snapshot.debian.org/file/e9044693fa329875df8b81163a819c1d77d9812d	2f23781d4186858b0a25823757728dbbe9ab4e0bf7e921f1e785d313e094b33f	-	-	-
